incident_id,case_number,incident_datetime,incident_type,incident_description,address_1,City,state,Latitude,Longitude,created_date,updated_date,location,hour_of_day,day_of_week,parent_incident_type
"868,115,326",18-2340986,2018 Aug 22 10:56:24 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,200 Block PARKSIDE AV,BUFFALO,NY,42.93772211,-78.85016222,2018 Aug 23 07:24:16 AM,2019 Sep 23 11:33:19 PM,POINT (-78.85016221566238 42.93772210819158),22,Wednesday,Theft
"841,960,564",18-0970463,2018 Feb 09 12:00:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,600 Block LINDEN AV,BUFFALO,NY,42.94432592,-78.86531696,2018 Apr 07 08:26:24 PM,2019 Sep 23 11:32:49 PM,POINT (-78.86531696058469 42.944325922483586),0,Friday,Theft
"840,805,049",18-0890343,2018 Feb 19 12:01:00 AM,BURGLARY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,200 Block LAUREL ST,BUFFALO,NY,42.9103507,-78.85653922,2018 Mar 30 07:14:57 PM,2019 Sep 23 11:30:52 PM,POINT (-78.85653922053234 42.91035069791892),0,Monday,Breaking & Entering
"835,316,246",18-0580018,2018 Feb 27 12:45:48 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,600 Block AMHERST ST,BUFFALO,NY,42.93999218,-78.81577627,2018 Feb 27 11:48:14 AM,2019 Sep 23 11:32:47 PM,POINT (-78.81577626587033 42.93999218336202),0,Tuesday,Theft
"835,362,297",18-0580327,2018 Feb 27 12:15:58 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,400 Block KOONS AV,BUFFALO,NY,42.90897574,-78.8209975,2018 Feb 27 06:52:39 PM,2019 Sep 23 11:31:32 PM,POINT (-78.82099750004764 42.90897574495778),12,Tuesday,Theft
"837,689,392",18-0720373,2018 Feb 27 12:30:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1300 Block AMHERST ST,BUFFALO,NY,42.941557,-78.85294246,2018 Mar 13 06:26:35 PM,2019 Sep 23 11:32:40 PM,POINT (-78.85294245596691 42.94155699941118),12,Tuesday,Theft
"842,160,266",18-0990652,2018 Feb 25 12:00:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,100 Block ELLER AV,BUFFALO,NY,42.91680943,-78.80030829,2018 Apr 09 10:29:15 PM,2018 Apr 17 04:02:08 AM,POINT (-78.80030828976732 42.916809429864145),12,Sunday,Theft
"909,067,214",19-0650014,2019 Mar 06 12:20:39 PM,BURGLARY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,3400 Block BAILEY AV,BUFFALO,NY,42.94822733,-78.8140144,2019 Mar 06 09:23:15 AM,2019 Mar 06 09:24:18 AM,POINT (-78.81401439822929 42.94822732574397),12,Wednesday,Breaking & Entering
"878,378,291",18-2610608,2016 Sep 04 12:00:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block HAGER ST,BUFFALO,NY,42.92079618,-78.84855845,2018 Sep 19 02:34:06 AM,2019 Sep 23 11:33:51 PM,POINT (-78.84855845131946 42.92079618146454),0,Sunday,Theft
"878,152,372",18-2610326,2018 Jun 07 12:00:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,100 Block LINWOOD AV,BUFFALO,NY,42.90710792,-78.86981304,2018 Sep 18 04:39:35 PM,2019 Sep 23 11:33:09 PM,POINT (-78.86981303680247 42.90710791671044),0,Thursday,Theft
"878,152,376",18-2610269,2018 Jul 21 01:53:00 PM,UUV,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,2400 Block BAILEY AV,BUFFALO,NY,42.92007534,-78.81398402,2018 Sep 18 04:39:35 PM,2019 Sep 23 11:34:04 PM,POINT (-78.81398401762154 42.920075339652485),13,Saturday,Theft of Vehicle
"914,843,956",19-1140081,2019 Apr 24 03:34:46 AM,ASSAULT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block LOMBARD ST,BUFFALO,NY,42.88693598,-78.83677135,2019 Apr 24 09:33:28 AM,2019 Sep 23 11:37:06 PM,POINT (-78.83677135331641 42.886935983979015),3,Wednesday,Assault
"868,091,511",18-2340208,2018 Jul 01 12:00:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block RICKERT AV,BUFFALO,NY,42.91842609,-78.84108167,2018 Aug 22 10:59:56 PM,2019 Sep 23 11:33:51 PM,POINT (-78.84108167326627 42.91842609182259),0,Sunday,Theft
"867,814,634",18-2330349,2018 Jul 02 12:00:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,2300 Block NIAGARA ST,BUFFALO,NY,42.94668171,-78.90820566,2018 Aug 21 05:13:55 PM,2019 Sep 23 11:33:49 PM,POINT (-78.90820565614736 42.9466817107619),0,Monday,Theft
"902,324,061",19-0210931,2019 Jan 21 09:30:00 AM,UUV,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,100 Block WOODLAWN AV,BUFFALO,NY,42.91410431,-78.85883296,2019 Jan 22 05:45:46 AM,2019 Sep 23 11:33:46 PM,POINT (-78.85883295823982 42.91410430855297),9,Monday,Theft of Vehicle
"909,587,180",19-0680484,2019 Mar 07 02:44:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block MIDWAY AV,BUFFALO,NY,42.93834436,-78.81651697,2019 Mar 09 09:32:40 PM,2019 Sep 23 11:34:41 PM,POINT (-78.81651696967512 42.93834435986016),14,Thursday,Theft
"868,041,900",18-2340322,2004 Jun 01 12:00:00 PM,SEXUAL ABUSE,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block COURTLAND AV,BUFFALO,NY,42.92030848,-78.80711539,2018 Aug 22 05:53:18 PM,2018 Aug 28 07:19:00 PM,POINT (-78.80711539306964 42.92030848198538),12,Tuesday,Other Sexual Offense
"922,868,205",19-1640609,2019 Jun 12 07:00:00 AM,BURGLARY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,200 Block ELM ST,BUFFALO,NY,42.88776741,-78.86826825,2019 Jun 13 09:09:08 PM,2019 Jun 13 09:10:21 PM,POINT (-78.86826825213825 42.88776741077107),7,Wednesday,Breaking & Entering
"914,608,818",19-1120580,2017 Dec 05 12:00:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block CHENANGO ST,BUFFALO,NY,42.91373819,-78.8843652,2019 Apr 22 11:30:00 PM,2019 Sep 23 11:37:05 PM,POINT (-78.88436520328717 42.913738191873385),0,Tuesday,Theft
"914,595,893",19-1120425,2018 Apr 20 02:00:00 AM,ROBBERY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,VIRGINIA ST & FRANKLIN ST,BUFFALO,NY,43.00560742,-78.88242071,2019 Apr 22 08:07:59 PM,2019 Sep 23 11:37:16 PM,POINT (-78.88242070509295 43.005607416328466),2,Friday,Robbery
"913,853,985",19-1040578,2019 Apr 14 03:21:00 AM,RAPE,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,2400 Block DELAWARE AV,BUFFALO,NY,42.95208122,-78.86927447,2019 Apr 14 10:50:49 PM,2019 Apr 22 03:47:06 AM,POINT (-78.86927446948299 42.952081219730466),3,Sunday,Sexual Assault
"913,837,516",19-1040313,2019 Apr 14 09:40:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,100 Block SWEET AV,BUFFALO,NY,42.89495454,-78.83385599,2019 Apr 14 03:28:59 PM,2019 Sep 23 11:36:28 PM,POINT (-78.83385599256168 42.89495454378769),9,Sunday,Theft
"913,923,086",19-1040849,2019 Apr 14 07:00:00 PM,BURGLARY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block MACAMLEY ST,BUFFALO,NY,42.85307015,-78.82697377,2019 Apr 15 06:54:54 AM,2019 Sep 23 11:37:24 PM,POINT (-78.82697377321121 42.85307015147078),19,Sunday,Breaking & Entering
"913,871,451",19-1040803,2019 Apr 14 07:40:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,600 Block AMHERST ST,BUFFALO,NY,42.93999218,-78.81577627,2019 Apr 15 04:21:10 AM,2019 Sep 23 11:36:28 PM,POINT (-78.81577626587033 42.93999218336202),19,Sunday,Theft
"913,935,617",19-1040820,2019 Apr 14 09:00:20 PM,ROBBERY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block BRIDGEMAN ST,BUFFALO,NY,42.94186472,-78.88364321,2019 Apr 15 11:20:48 AM,2019 Sep 23 11:37:36 PM,POINT (-78.88364321118758 42.94186471626874),21,Sunday,Robbery
"913,868,909",19-1040777,2019 Apr 14 09:16:31 PM,THEFT OF SERVICES,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1200 Block BAILEY AV,BUFFALO,NY,42.88934421,-78.81383217,2019 Apr 15 03:03:23 AM,2019 Sep 23 11:36:28 PM,POINT (-78.81383216524836 42.889344207372936),21,Sunday,Theft
"913,858,257",19-1040679,2019 Apr 14 12:00:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block WINSLOW AV,BUFFALO,NY,42.91333015,-78.84972099,2019 Apr 15 12:30:19 AM,2019 Apr 22 03:47:07 AM,POINT (-78.84972099342097 42.91333015058315),12,Sunday,Theft
"881,475,010",18-2900299,2018 Oct 11 10:42:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,500 Block EXCHANGE ST,BUFFALO,NY,42.87588878,-78.85601407,2018 Oct 17 06:43:22 PM,2019 Sep 23 11:34:18 PM,POINT (-78.85601407326783 42.875888775679016),10,Thursday,Theft
"881,985,884",18-2900667,2018 Oct 15 08:00:00 AM,BURGLARY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,100 Block FOREST AV,BUFFALO,NY,42.92743284,-78.89361715,2018 Oct 17 11:50:36 PM,2019 Sep 23 11:36:06 PM,POINT (-78.89361714915846 42.927432836942494),8,Monday,Breaking & Entering
"881,475,004",18-2890783,2018 Oct 16 08:07:32 PM,BURGLARY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,600 Block NORTHAMPTON ST,BUFFALO,NY,42.90764058,-78.84200722,2018 Oct 17 06:43:18 PM,2019 Sep 23 11:33:16 PM,POINT (-78.84200722235356 42.907640579510385),20,Tuesday,Breaking & Entering
"864,563,681",18-2020960,2018 Jul 21 08:44:16 AM,BURGLARY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,BROADWAY & BROADWAY,BUFFALO,NY,42.88589506,-78.87087158,2018 Jul 22 02:58:23 AM,2018 Jul 22 02:58:24 AM,POINT (-78.87087157522437 42.88589505959807),8,Saturday,Breaking & Entering
"856,224,714",18-1530436,2018 Jun 01 09:58:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,CAROLINA ST & NIAGARA,BUFFALO,NY,42.88015682,-78.86118164,2018 Jun 02 04:56:47 PM,2019 Sep 23 11:34:40 PM,POINT (-78.86118164416627 42.88015682079466),21,Friday,Theft
"856,224,716",18-1530514,2018 Jun 02 12:30:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,SARANAC AV & HERTEL AV,BUFFALO,NY,42.94771997,-78.85745144,2018 Jun 02 04:56:47 PM,2019 Sep 23 11:33:39 PM,POINT (-78.85745144244385 42.94771997275641),0,Saturday,Assault
"856,213,871",18-1530281,2018 Jun 02 06:36:06 AM,ASSAULT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,WALDEN ST & LATHROP ST,BUFFALO,NY,42.89094686,-78.80820334,2018 Jun 02 12:49:16 PM,2019 Sep 23 11:34:39 PM,POINT (-78.80820334252503 42.89094685504916),6,Saturday,Assault
"856,221,675",18-1530327,2018 Jun 02 07:40:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,PORTER AV & SYMPHONY CIRCLE,BUFFALO,NY,42.89689414,-78.89338935,2018 Jun 02 03:42:54 PM,2019 Sep 23 11:34:39 PM,POINT (-78.89338935172506 42.89689414230818),7,Saturday,Assault
"856,221,678",18-1530364,2018 Jun 02 09:11:00 AM,ROBBERY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1200 Block E LOVEJOY ST,BUFFALO,NY,42.88996928,-78.80293825,2018 Jun 02 03:42:54 PM,2019 Sep 23 11:34:39 PM,POINT (-78.8029382486818 42.88996927659518),9,Saturday,Robbery
"889,596,070",18-3180780,2018 Oct 26 03:00:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,300 Block BARNARD ST,BUFFALO,NY,42.87457004,-78.8060547,2018 Nov 15 02:14:19 AM,2018 Nov 15 02:15:09 AM,POINT (-78.80605470281455 42.87457003742868),3,Friday,Theft
"880,074,667",18-2780319,2018 Oct 04 10:00:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,100 Block ST LAWRENCE AV,BUFFALO,NY,42.9559924,-78.86324094,2018 Oct 05 05:41:51 PM,2018 Oct 12 06:23:37 PM,POINT (-78.86324094439973 42.955992404697156),10,Thursday,Theft
"861,597,268",18-1820034,2018 Jul 01 12:37:09 AM,ASSAULT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,300 Block DAVIDSON AV,BUFFALO,NY,42.93757938,-78.80090402,2018 Jul 01 10:15:39 AM,2019 Sep 23 11:34:09 PM,POINT (-78.8009040236211 42.93757937834848),0,Sunday,Assault
"880,092,698",18-2780470,2018 Oct 03 08:00:00 AM,BURGLARY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block HUMPHREY RD,BUFFALO,NY,42.94691238,-78.90424774,2018 Oct 05 10:54:34 PM,2019 Sep 23 11:34:54 PM,POINT (-78.90424774172874 42.94691238346508),8,Wednesday,Breaking & Entering
"880,155,867",18-2790477,2018 Oct 03 05:00:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,300 Block MORTIMER ST,BUFFALO,NY,42.8932802,-78.85803121,2018 Oct 06 05:46:07 PM,2019 Sep 23 11:34:06 PM,POINT (-78.85803120982575 42.893280199677044),17,Wednesday,Theft
"880,085,222",18-2780545,2018 Oct 04 01:00:00 PM,BURGLARY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block TREMONT AV,BUFFALO,NY,42.92685852,-78.88259951,2018 Oct 05 08:58:46 PM,2019 Sep 23 11:34:17 PM,POINT (-78.88259951372835 42.92685851875014),13,Thursday,Breaking & Entering
"880,092,704",18-2780682,2018 Oct 04 03:00:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,SENECA ST & FILLMORE AV,BUFFALO,NY,42.87429762,-78.84410631,2018 Oct 05 10:54:34 PM,2019 Sep 23 11:33:13 PM,POINT (-78.8441063097378 42.874297620281496),15,Thursday,Theft
"880,109,001",18-2780675,2018 Oct 04 11:00:00 PM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1 Block ALMA AV,BUFFALO,NY,42.92682325,-78.81497998,2018 Oct 06 03:52:29 AM,2019 Sep 23 11:33:10 PM,POINT (-78.81497998333387 42.92682324736976),23,Thursday,Theft
"889,591,583",18-3180610,2018 Nov 03 10:00:00 AM,LARCENY/THEFT,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,400 Block HINMAN AV,BUFFALO,NY,42.95637707,-78.88464767,2018 Nov 15 12:46:30 AM,2018 Nov 15 12:47:17 AM,POINT (-78.88464767069331 42.95637707455667),10,Saturday,Theft
"880,085,219",18-2780412,2018 Oct 05 01:02:04 AM,BURGLARY,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,1800 Block GENESEE ST,BUFFALO,NY,42.91319269,-78.81175589,2018 Oct 05 08:58:46 PM,2018 Oct 12 06:23:37 PM,POINT (-78.8117558850752 42.913192686654845),1,Friday,Breaking & Entering
"856,006,240",18-1510575,2018 May 01 12:00:00 AM,UUV,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,100 Block LUDINGTON ST,BUFFALO,NY,42.88760029,-78.8077061,2018 May 31 09:09:26 PM,2019 Sep 23 11:33:37 PM,POINT (-78.80770609797875 42.887600289819446),0,Tuesday,Theft of Vehicle
