incident_id,case_number,incident_datetime,incident_type_primary,incident_description,address_1,city,state,zip,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
"743,493,852",00-01-0758-1,2000 Jan 11 06:00:00 PM,FORGERY AND COUNTERFEITING,Occur From Date: 01/11/2000 18:00<br>Occur To Date: 01/11/2000 19:00<br>16-9-1 FORGERY IN THE 1ST DEGREE - CHECKS<br>Case Status: Open Investigation,400 Block HAWTHORNE AV,ATHENS,GA,30606,33.955595,-83.411636,2016 Jan 11 05:48:13 PM,2016 Jan 11 08:17:34 PM,POINT (-83.411636 33.955595),18,Tuesday,Theft
"743,623,108",00-01-0718-1,2000 Jan 11 06:00:00 PM,LARCENY-THEFT,Occur From Date: 01/11/2000 18:00<br>Occur To Date: 01/11/2000 18:00<br>16-8-2 THEFT BY TAKING - ALL OTHER - $.01 TO $500.00<br>Case Status: Open Investigation,2900 Block LEXINGTON RD,ATHENS,GA,30605,33.94171,-83.329687,2016 Jan 11 06:34:26 PM,2016 Jan 11 09:27:18 PM,POINT (-83.329687 33.94171),18,Tuesday,Theft
"743,666,661",00-01-0736-1,2000 Jan 11 06:15:00 PM,OTHER ASSAULTS,Occur From Date: 01/11/2000 18:15<br>Occur To Date: 01/11/2000 18:30<br>16-5-23 SIMPLE BATTERY<br>Case Status: Cleared by Arrest,100 Block NICOLE CIR,ATHENS,GA,30606,33.9888197,-83.4668638,2016 Jan 11 06:52:11 PM,2016 Jan 11 09:51:28 PM,POINT (-83.4668638 33.9888197),18,Tuesday,Assault
"743,464,997",00-01-0716-1,2000 Jan 11 06:19:00 PM,ALL OTHER OFFENSES,Occur From Date: 01/11/2000 18:19<br>Occur To Date: 01/11/2000 18:19<br>16-7-21 CRIMINAL TRESPASS<br>Case Status: Cleared by Arrest,1300 Block W HANCOCK AV,ATHENS,GA,30606,33.9557976,-83.3944073,2016 Jan 11 05:38:37 PM,2016 Jan 11 08:01:47 PM,POINT (-83.3944073 33.9557976),18,Tuesday,Other
"743,653,519",00-01-0726-1,2000 Jan 11 07:18:00 PM,OTHER ASSAULTS,Occur From Date: 01/11/2000 19:18<br>Occur To Date: 01/11/2000 20:10<br>16-5-23 SIMPLE BATTERY<br>Case Status: Cleared by Arrest,1 Block CONE DR,ATHENS,GA,30601,33.9559686,-83.352733,2016 Jan 11 06:46:37 PM,2016 Jan 11 09:44:35 PM,POINT (-83.352733 33.9559686),19,Tuesday,Assault
"743,625,711",00-01-0731-2,2000 Jan 11 07:30:00 PM,DRUG ABUSE VIOLATIONS,Occur From Date: 01/11/2000 19:30<br>Occur To Date: 01/11/2000 19:30<br>16-13-30 HALLUCINOGEN - SALES OF<br>Case Status: Cleared by Arrest,100 Block SUNNY HILLS DR,ATHENS,GA,30601,33.9820198,-83.3638813,2016 Jan 11 06:35:21 PM,2016 Jan 11 09:28:09 PM,POINT (-83.3638813 33.9820198),19,Tuesday,Drugs
"743,698,039",00-01-0731-1,2000 Jan 11 07:30:00 PM,DRUG ABUSE VIOLATIONS,Occur From Date: 01/11/2000 19:30<br>Occur To Date: 01/11/2000 19:30<br>16-13-30 (j) (2) MARIJUANA - POSS W/ INTENT TO DISTRIBUTE<br>Case Status: Cleared by Arrest,100 Block SUNNY HILLS DR,ATHENS,GA,30601,33.9820198,-83.3638813,2016 Jan 11 07:05:00 PM,2016 Jan 11 10:09:21 PM,POINT (-83.3638813 33.9820198),19,Tuesday,Drugs
"743,486,298",00-01-0764-2,2000 Jan 11 08:00:00 PM,ALL OTHER OFFENSES,Occur From Date: 01/11/2000 20:00<br>Occur To Date: 01/12/2000 09:00<br>16-7-21 CRIMINAL TRESPASS<br>Case Status: Open Investigation,3700 Block JEFFERSON RD,ATHENS,GA,30607,33.9889919,-83.4261433,2016 Jan 11 05:45:37 PM,2016 Jan 11 08:14:29 PM,POINT (-83.4261433 33.9889919),20,Tuesday,Other
"743,557,165",00-01-0764-1,2000 Jan 11 08:00:00 PM,BURGLARY,Occur From Date: 01/11/2000 20:00<br>Occur To Date: 01/12/2000 09:00<br>16-7-1 BURGLARY - NON RESIDENCE - NO FORCED ENTRY<br>Case Status: Open Investigation,3700 Block JEFFERSON RD,ATHENS,GA,30607,33.9889919,-83.4261433,2016 Jan 11 06:09:45 PM,2016 Jan 11 08:51:43 PM,POINT (-83.4261433 33.9889919),20,Tuesday,Breaking & Entering
"743,904,406",00-01-1181-1,2000 Jan 11 08:00:00 PM,OTHER ASSAULTS,Occur From Date: 01/11/2000 20:00<br>Occur To Date: 01/11/2000 20:10<br>16-5-23 SIMPLE BATTERY<br>Case Status: Open Investigation,400 Block PRINCE AV,ATHENS,GA,30601,33.960532,-83.3841621,2016 Jan 11 08:32:31 PM,2016 Jan 12 12:07:58 AM,POINT (-83.3841621 33.960532),20,Tuesday,Assault
"743,581,179",00-01-0751-1,2000 Jan 11 09:00:00 PM,LARCENY-THEFT,Occur From Date: 01/11/2000 21:00<br>Occur To Date: 01/12/2000 07:00<br>16-8-2 THEFT BY TAKING - ALL OTHER - $.01 TO $500.00<br>Case Status: Open Investigation,1100 Block BAXTER ST,ATHENS,GA,30606,33.9461618,-83.4026196,2016 Jan 11 06:18:33 PM,2016 Jan 11 09:04:27 PM,POINT (-83.4026196 33.9461618),21,Tuesday,Theft
"743,647,443",00-01-0732-1,2000 Jan 11 10:00:00 PM,OTHER ASSAULTS,Occur From Date: 01/11/2000 22:00<br>Occur To Date: 01/11/2000 22:00<br>16-5-23 SIMPLE BATTERY<br>Case Status: Open Investigation,NOWHERE RD,ATHENS,GA,30601,34.0202064,-83.3687896,2016 Jan 11 06:44:06 PM,2016 Jan 11 09:41:03 PM,POINT (-83.3687896 34.0202064),22,Tuesday,Assault
"743,619,722",00-03-0906-1,2000 Jan 12 12:01:00 AM,LARCENY-THEFT,Occur From Date: 01/12/2000 00:01<br>Occur To Date: 01/12/2000 23:59<br>16-8-18 ENTERING AUTO (THEFT - ITEMS FROM VEH)<br>Case Status: Cleared by Arrest,100 Block HANCOCK LN,ATHENS,GA,30605,33.8844717,-83.3120213,2016 Jan 11 06:33:01 PM,2016 Jan 11 09:25:30 PM,POINT (-83.3120213 33.8844717),0,Wednesday,Theft
"743,687,679",00-03-0906-3,2000 Jan 12 12:01:00 AM,FORGERY AND COUNTERFEITING,Occur From Date: 01/12/2000 00:01<br>Occur To Date: 01/12/2000 23:59<br>16-9-1 FORGERY IN THE 1ST DEGREE - OTHER OBJECTS<br>Case Status: Cleared by Arrest,100 Block HANCOCK LN,ATHENS,GA,30605,33.8844717,-83.3120213,2016 Jan 11 07:00:31 PM,2016 Jan 11 10:03:23 PM,POINT (-83.3120213 33.8844717),0,Wednesday,Theft
"743,735,293",00-03-0906-2,2000 Jan 12 12:01:00 AM,FRAUD,Occur From Date: 01/12/2000 00:01<br>Occur To Date: 01/12/2000 23:59<br>16-9-33 FINANCIAL TRANSACTION CARD FRAUD<br>Case Status: Cleared by Arrest,100 Block HANCOCK LN,ATHENS,GA,30605,33.8844717,-83.3120213,2016 Jan 11 07:21:09 PM,2016 Jan 11 10:30:54 PM,POINT (-83.3120213 33.8844717),0,Wednesday,Theft
"743,464,681",00-01-0737-2,2000 Jan 12 12:30:00 AM,ALL OTHER OFFENSES,Occur From Date: 01/12/2000 00:30<br>Occur To Date: 01/12/2000 00:40<br>16-7-21 CRIMINAL TRESPASS<br>Case Status: Cleared by Arrest,100 Block WILLOW ST,ATHENS,GA,30601,33.9588467,-83.3676511,2016 Jan 11 05:38:34 PM,2016 Jan 11 08:03:55 PM,POINT (-83.3676511 33.9588467),0,Wednesday,Other
"743,630,206",00-01-0737-1,2000 Jan 12 12:30:00 AM,OTHER ASSAULTS,Occur From Date: 01/12/2000 00:30<br>Occur To Date: 01/12/2000 00:40<br>16-5-23 SIMPLE BATTERY<br>Case Status: Cleared by Arrest,100 Block WILLOW ST,ATHENS,GA,30601,33.9588467,-83.3676511,2016 Jan 11 06:37:01 PM,2016 Jan 11 09:32:19 PM,POINT (-83.3676511 33.9588467),0,Wednesday,Assault
"743,580,737",00-01-0996-1,2000 Jan 12 01:00:00 AM,LARCENY-THEFT,Occur From Date: 01/12/2000 01:00<br>Occur To Date: 01/12/2000 01:00<br>16-8-2 THEFT BY TAKING - ALL OTHER - $.01 TO $500.00<br>Case Status: Open Investigation,300 Block THIRD ST,ATHENS,GA,30601,33.9641399,-83.3667391,2016 Jan 11 06:18:22 PM,2016 Jan 11 09:04:21 PM,POINT (-83.3667391 33.9641399),1,Wednesday,Theft
"743,459,359",00-01-0741-1,2000 Jan 12 02:10:00 AM,ALL OTHER OFFENSES,Occur From Date: 01/12/2000 02:10<br>Occur To Date: 01/12/2000 02:10<br>16-7-21 CRIMINAL TRESPASS<br>Case Status: Open Investigation,200 Block W DOUGHERTY ST,ATHENS,GA,30601,33.9603284,-83.3793927,2016 Jan 11 05:37:01 PM,2016 Jan 11 07:58:11 PM,POINT (-83.3793927 33.9603284),2,Wednesday,Other
"743,490,943",00-01-0742-1,2000 Jan 12 02:48:00 AM,DRIVING UNDER THE INFLUENCE,Occur From Date: 01/12/2000 02:48<br>Occur To Date: 01/12/2000 04:15<br>40-6-391 DUI - ALCOHOL<br>Case Status: Cleared by Arrest,300 Block ROBERTS RD,ATHENS,GA,30606,33.9841819,-83.439446,2016 Jan 11 05:47:16 PM,2016 Jan 11 08:16:41 PM,POINT (-83.439446 33.9841819),2,Wednesday,Liquor
"743,521,494",00-01-0742-2,2000 Jan 12 02:48:00 AM,LIQUOR LAWS,Occur From Date: 01/12/2000 02:48<br>Occur To Date: 01/12/2000 04:15<br>3-3-23 UNDERAGE FURNISH POSS OR CONSUMPTION OF ALCOHOL<br>Case Status: Cleared by Arrest,300 Block ROBERTS RD,ATHENS,GA,30606,33.9841819,-83.439446,2016 Jan 11 05:57:48 PM,2016 Jan 11 08:31:41 PM,POINT (-83.439446 33.9841819),2,Wednesday,Liquor
"743,585,502",00-01-0743-1,2000 Jan 12 06:50:00 AM,LARCENY-THEFT,Occur From Date: 01/12/2000 06:50<br>Occur To Date: 01/12/2000 07:05<br>16-8-2 THEFT BY TAKING - ALL OTHER - $.01 TO $500.00<br>Case Status: Open Investigation,1400 Block PRINCE AV,ATHENS,GA,30606,33.9638331,-83.4017327,2016 Jan 11 06:20:13 PM,2016 Jan 11 09:07:00 PM,POINT (-83.4017327 33.9638331),6,Wednesday,Theft
"743,886,732",00-01-0756-1,2000 Jan 12 08:40:00 AM,DISORDERLY CONDUCT,Occur From Date: 01/12/2000 08:40<br>Occur To Date: 01/12/2000 08:40<br>16-5-60 RECKLESS CONDUCT (MIS)<br>Case Status: Cleared by Arrest,300 Block S MILLEDGE AV,ATHENS,GA,30605,33.9526147,-83.3875436,2016 Jan 11 08:25:59 PM,2016 Jan 11 11:59:07 PM,POINT (-83.3875436 33.9526147),8,Wednesday,Disorder
"743,461,760",00-01-0852-1,2000 Jan 12 09:00:00 AM,ALL OTHER OFFENSES,Occur From Date: 01/12/2000 09:00<br>Occur To Date: 01/13/2000 13:50<br>16-7-21 CRIMINAL TRESPASS<br>Case Status: Open Investigation,500 Block N PETER ST,ATHENS,GA,30601,33.9610043,-83.3579919,2016 Jan 11 05:37:40 PM,2016 Jan 11 07:59:57 PM,POINT (-83.3579919 33.9610043),9,Wednesday,Other
"743,504,679",00-01-2185-1,2000 Jan 12 09:00:00 AM,FORGERY AND COUNTERFEITING,Occur From Date: 01/12/2000 09:00<br>Occur To Date: 01/19/2000 17:00<br>16-9-1 FORGERY IN THE 1ST DEGREE - CHECKS<br>Case Status: Open Investigation,600 Block BAXTER ST,ATHENS,GA,30605,33.9500829,-83.3849732,2016 Jan 11 05:52:06 PM,2016 Jan 11 08:23:31 PM,POINT (-83.3849732 33.9500829),9,Wednesday,Theft
"743,480,055",00-01-0798-1,2000 Jan 12 11:00:00 AM,FORGERY AND COUNTERFEITING,Occur From Date: 01/12/2000 11:00<br>Occur To Date: 01/12/2000 15:00<br>16-9-1 FORGERY IN THE 1ST DEGREE - CHECKS<br>Case Status: Cleared by Arrest,700 Block BAXTER ST,ATHENS,GA,30605,33.9499113,-83.3858575,2016 Jan 11 05:43:31 PM,2016 Jan 11 08:10:16 PM,POINT (-83.3858575 33.9499113),11,Wednesday,Theft
