ID,Incident Date and Time,Incident Type,Street,City,State,Zip,Latitude,Longitude,Crime Category,Theft,Sexual Abuse,Assault,Others,Rape,Murder,Drug Abuse,Drinking in Public,Traffic Accidents,Forgery,Vandalism,Weapon Violation,Missing Person,Suspicious Entity,Indecent Exposure,Accident,Animal Abuse,Threats,Harassment,Child Abuse,Trespassing,Stalking,Evidence Tampering,Misconduct,Prostitution,Noise Complaint,Kidnapping,Severity Index
"743,467,595",2000 Feb 02 10:00:00 PM,all other offenses,200 Block PAULDOE ST,Athens,GA,30606,33.9541521,-83.41189159999999,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,535,921",2000 Feb 02 10:00:00 PM,larceny-theft,200 Block PAULDOE ST,Athens,GA,30606,33.9541521,-83.41189159999999,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,734,901",2000 Feb 02 10:00:00 PM,other assaults,200 Block LAVENDER RD,Athens,GA,30606,33.99018,-83.43924799999999,Assault,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"743,880,329",2000 Feb 02 10:05:00 PM,other assaults,100 Block MONTY DR,Athens,GA,30601,33.988785799999995,-83.3655806,Assault,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"743,913,056",2000 Feb 02 10:05:00 PM,all other offenses,100 Block MONTY DR,Athens,GA,30601,33.988785799999995,-83.3655806,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,469,461",2000 Feb 02 10:25:00 PM,all other offenses,100 Block LOST TREE TR,Athens,GA,30605,33.9162028,-83.31593640000001,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,901,416",2000 Feb 02 10:30:00 PM,burglary,100 Block INGLEWOOD AV,Athens,GA,30601,33.9518336,-83.36182,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,913,762",2000 Feb 02 10:45:00 PM,all other offenses,100 Block MASSEY LN,Athens,GA,30601,33.993116,-83.3633849,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,507,458",2000 Feb 02 10:51:00 PM,liquor laws,N LUMPKIN ST,Athens,GA,30601,33.9598366,-83.3776192,Drinking in Public,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,511,626",2000 Feb 02 11:05:00 PM,liquor laws,200 Block N LUMPKIN ST,Athens,GA,30601,33.958214899999994,-83.37705030000001,Drinking in Public,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,760,080",2000 Feb 03 12:05:00 AM,other assaults,800 Block SUNSET DR,Athens,GA,30606,33.964515500000005,-83.4109833,Assault,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"743,921,485",2000 Feb 03 12:21:00 AM,driving under the influence,200 Block W HANCOCK AV,Athens,GA,30606,33.9530096,-83.3979574,Traffic Accidents,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"743,576,801",2000 Feb 03 01:00:00 AM,larceny-theft,300 Block ROLLINGRIDGE DR,Athens,GA,30607,33.990171000000004,-83.4019811,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,881,648",2000 Feb 03 02:00:00 AM,other assaults,200 Block STONEHENGE WAY,Athens,GA,30622,33.935662,-83.499139,Assault,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"743,484,403",2000 Feb 03 02:25:00 AM,driving under the influence,W WASHINGTON ST,Athens,GA,30601,33.958718,-83.37883719999999,Traffic Accidents,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"743,497,183",2000 Feb 03 02:45:00 AM,all other offenses,400 Block E HANCOCK AV,Athens,GA,30601,33.9607089,-83.3736272,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,486,808",2000 Feb 03 02:46:00 AM,driving under the influence,200 Block MILLEDGE TR,Athens,GA,30605,33.9537364,-83.3879365,Traffic Accidents,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"743,753,060",2000 Feb 03 06:45:00 AM,other assaults,NORTHCREST DR,Athens,GA,30601,33.9769352,-83.3671547,Assault,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"743,835,022",2000 Feb 03 06:50:00 AM,other assaults,NORTHCREST DR,Athens,GA,30601,33.9769352,-83.3671547,Assault,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"743,569,690",2000 Feb 03 07:30:00 AM,burglary,100 Block EASTWOOD CT,Athens,GA,30605,33.95413189999999,-83.34622009999998,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,564,733",2000 Feb 03 08:00:00 AM,burglary,2000 Block WINTERVILLE RD,Athens,GA,30605,33.956449600000006,-83.3210318,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,475,209",2000 Feb 03 12:00:00 PM,all other offenses,100 Block GRIFFETH ST,Athens,GA,30601,33.966026,-83.3669973,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,572,306",2000 Feb 03 01:03:00 PM,larceny-theft,200 Block SAXON WOODS DR,Athens,GA,30607,34.009344,-83.41199300000001,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
