ID,Incident Date and Time,Incident Type,Street,City,State,Zip,Latitude,Longitude
"743,483,822",2000 Feb 12 11:00:00 AM,ALL OTHER OFFENSES,3700 Block ATLANTA HWY,ATHENS,GA,30606.0,33.9439705,-83.4675771
"743,487,127",2000 Feb 12 11:05:00 AM,LARCENY-THEFT,3700 Block ATLANTA HWY,ATHENS,GA,30606.0,33.9439705,-83.4675771
"743,577,447",2000 Feb 12 11:30:00 AM,"WEAPONS: CARRYING, POSSESSING, ETC.",100 Block ALPS RD,ATHENS,GA,30606.0,33.9489162,-83.408391
"743,710,298",2000 Feb 12 11:30:00 AM,OTHER ASSAULTS,100 Block ALPS RD,ATHENS,GA,30606.0,33.9489162,-83.408391
"743,554,966",2000 Feb 12 12:00:00 PM,LARCENY-THEFT,300 Block PULASKI ST,ATHENS,GA,30601.0,33.9600982,-83.3809029
"743,896,722",2000 Feb 12 02:50:00 PM,"STOLEN PROPERTY: BUYING, RECEIVING, POSSESSING",2800 Block LEXINGTON RD,ATHENS,GA,30605.0,33.9425872,-83.3314536
"743,684,222",2000 Feb 12 03:00:00 PM,DRUG ABUSE VIOLATIONS,100 Block ROLLINGRIDGE DR,ATHENS,GA,30607.0,33.9903765,-83.401688
"743,481,506",2000 Feb 12 03:25:00 PM,ALL OTHER OFFENSES,500 Block FOURTH ST,ATHENS,GA,30601.0,33.96884,-83.3652358
"743,700,477",2000 Feb 12 03:25:00 PM,DRUG ABUSE VIOLATIONS,500 Block FOURTH ST,ATHENS,GA,30601.0,33.96884,-83.3652358
"743,677,756",2000 Feb 12 05:15:00 PM,LARCENY-THEFT,4300 Block ATLANTA HWY,ATHENS,GA,30622.0,33.9408133,-83.4840801
"743,627,873",2000 Feb 12 05:24:00 PM,DRUG ABUSE VIOLATIONS,N ROCKSPRINGS ST,ATHENS,GA,30606.0,33.955799,-83.394375
"743,651,378",2000 Feb 12 05:45:00 PM,LARCENY-THEFT,2600 Block WINTERVILLE RD,ATHENS,GA,30605.0,33.9609153,-83.3170835
"743,531,384",2000 Feb 12 06:10:00 PM,AGGRAVATED ASSAULT,300 Block LEXINGTON HGT,ATHENS,GA,30605.0,33.9405264,-83.3417785
"743,649,095",2000 Feb 12 08:16:00 PM,ALL OTHER OFFENSES,100 Block COUNTRY CLUB PL,ATHENS,GA,30606.0,33.9484066,-83.3946949
"743,671,362",2000 Feb 12 08:16:00 PM,DRUNKENNESS,100 Block COUNTRY CLUB PL,ATHENS,GA,30606.0,33.9484066,-83.3946949
"743,533,251",2000 Feb 12 08:30:00 PM,AGGRAVATED ASSAULT,4800 Block ATLANTA HWY,ATHENS,GA,30622.0,33.9416396,-83.4989498
"743,677,490",2000 Feb 12 08:30:00 PM,LARCENY-THEFT,4800 Block ATLANTA HWY,ATHENS,GA,30622.0,33.9416396,-83.4989498
"743,707,179",2000 Feb 12 08:30:00 PM,OTHER ASSAULTS,4800 Block ATLANTA HWY,ATHENS,GA,30622.0,33.9416396,-83.4989498
"743,833,743",2000 Feb 12 08:30:00 PM,LARCENY-THEFT,3700 Block ATLANTA HWY,ATHENS,GA,30606.0,33.9439705,-83.4675771
"743,532,005",2000 Feb 12 09:11:00 PM,AGGRAVATED ASSAULT,600 Block DEARING ST,ATHENS,GA,30606.0,33.9531306,-83.3906048
"743,475,411",2000 Feb 12 10:00:00 PM,ALL OTHER OFFENSES,100 Block NOWHERE RD,ATHENS,GA,30601.0,33.9902441,-83.3556972
"743,632,561",2000 Feb 12 10:00:00 PM,OTHER ASSAULTS,100 Block NOWHERE RD,ATHENS,GA,30601.0,33.9902441,-83.3556972
"743,716,616",2000 Feb 12 10:00:00 PM,OTHER ASSAULTS,600 Block W BROAD ST,ATHENS,GA,30601.0,33.9564377,-83.3830151
"743,700,400",2000 Feb 12 10:37:00 PM,OTHER ASSAULTS,1000 Block BAXTER ST,ATHENS,GA,30606.0,33.9482623,-83.3918373
"743,872,581",2000 Feb 12 11:00:00 PM,OTHER ASSAULTS,1000 Block MACON HWY,ATHENS,GA,30606.0,33.9145139,-83.398715
"743,861,729",2000 Feb 13 12:05:00 AM,OTHER ASSAULTS,100 Block COLLEGE AV,ATHENS,GA,30601.0,33.9579586,-83.3750774
"743,703,543",2000 Feb 13 12:18:00 AM,VAGRANCY,CLAYTON ST,ATHENS,GA,30601.0,33.9585374,-83.3755704
"743,577,712",2000 Feb 13 12:53:00 AM,LIQUOR LAWS,100 Block E CLAYTON ST,ATHENS,GA,30601.0,33.9581905,-83.3770455
"743,628,819",2000 Feb 13 01:27:00 AM,DRUG ABUSE VIOLATIONS,200 Block N LUMPKIN ST,ATHENS,GA,30601.0,33.9582149,-83.3770503
