ID,Incident Date and Time,Incident Type,Street,City,State,Zip,Latitude,Longitude
"923,370,743",2019 Jun 18 06:21:00 AM,LARCENY/THEFT,400 Block DARTMOUTH AV,BUFFALO,NY,14206,42.94321563,-78.80921514
"940,885,507",2019 Sep 08 02:49:22 AM,ASSAULT,SWEET AV & REAR,BUFFALO,NY,14206,42.89188134,-78.83388087
"863,314,340",2018 Jul 03 04:00:00 PM,BURGLARY,100 Block FOLGER ST,BUFFALO,NY,14206,42.8501342,-78.82696223
"863,295,488",2018 Jul 10 10:00:00 PM,LARCENY/THEFT,800 Block MCKINLEY PW,BUFFALO,NY,14206,42.85385005,-78.82145731
"866,063,658",2018 Aug 03 04:08:00 PM,LARCENY/THEFT,1000 Block BROADWAY,BUFFALO,NY,14206,42.89426571,-78.83515935
"898,003,154",2018 Dec 25 02:00:00 PM,LARCENY/THEFT,1 Block BUFFUM ST,BUFFALO,NY,14206,42.85405023,-78.803706
"897,998,094",2018 Dec 27 04:36:38 PM,BURGLARY,1 Block BECK ST,BUFFALO,NY,14206,42.89612775,-78.83688363
"861,738,716",2018 Jun 25 10:50:00 AM,BURGLARY,2100 Block GENESEE ST,BUFFALO,NY,14206,42.91685746,-78.80389234
"863,319,470",2018 Jun 25 07:00:00 PM,BURGLARY,100 Block DONOVAN DR,BUFFALO,NY,14206,42.91269443,-78.82717117
"861,484,576",2018 Jun 27 01:00:00 PM,BURGLARY,1 Block BRISCOE AV,BUFFALO,NY,14206,42.90796995,-78.80251689
"861,498,461",2018 Jun 28 01:00:00 AM,BURGLARY,200 Block DONOVAN DR,BUFFALO,NY,14206,42.91296882,-78.82717226
"861,529,662",2018 Jun 29 05:51:00 AM,LARCENY/THEFT,700 Block LASALLE AV,BUFFALO,NY,14206,42.94473242,-78.80529904
"861,483,219",2018 Jun 29 02:14:22 AM,ROBBERY,1500 Block BROADWAY,BUFFALO,NY,14206,42.89622403,-78.81744048
"861,553,682",2018 Jun 29 06:00:00 AM,SEXUAL ABUSE,1000 Block KENSINGTON AV,BUFFALO,NY,14206,42.937330200000005,-78.81599032
"861,526,586",2018 Jun 29 10:45:03 AM,ASSAULT,100 Block ELK ST,BUFFALO,NY,14206,42.8692098,-78.84915815
"861,477,760",2018 Jun 29 09:20:53 AM,LARCENY/THEFT,300 Block AMHERST ST,BUFFALO,NY,14206,42.93983903,-78.82350631
"861,551,536",2018 Jun 29 09:29:00 AM,LARCENY/THEFT,300 Block CHELSEA PL,BUFFALO,NY,14206,42.92296935,-78.83393214
"894,389,816",2018 Dec 14 02:00:00 AM,LARCENY/THEFT,THORNTON AV & BAILEY AV,BUFFALO,NY,14206,42.93939284,-78.8136453
"882,611,251",2018 Oct 24 12:00:00 AM,THEFT OF SERVICES,200 Block OLYMPIC AV,BUFFALO,NY,14206,42.92818748,-78.81875633
"904,196,033",2019 Feb 01 01:18:53 AM,ASSAULT,FILLMORE AV & FERRY ST,BUFFALO,NY,14206,42.91308684,-78.84815209
"868,748,624",2018 May 07 12:00:00 PM,ASSAULT,1 Block MOHR ST,BUFFALO,NY,14206,42.89277467,-78.82679414
"868,161,268",2018 Aug 09 09:00:00 AM,BURGLARY,300 Block DAVEY ST,BUFFALO,NY,14206,42.89435745,-78.80399874
"842,177,967",2018 Apr 05 12:00:00 AM,UUV,E FERRY ST & DONOVAN DR,BUFFALO,NY,14206,42.91447778,-78.82725287
"842,329,786",2018 Apr 05 12:00:00 PM,BURGLARY,1 Block KEYSTONE AV,BUFFALO,NY,14206,42.90425083,-78.81015524
"868,322,028",2018 Aug 20 05:35:00 PM,BURGLARY,600 Block WALDEN AV,BUFFALO,NY,14206,42.90517779,-78.81314464
"882,721,065",2018 Oct 18 08:45:00 AM,BURGLARY,1 Block LINDEN AV,BUFFALO,NY,14206,42.94165709,-78.84528674
