Type Of House,Price,Number of rooms,Street,City,State,Zip
Apartment for rent,1225,3,222 Bower Hill Rd,Pittsburgh,PA,15228
House for rent,1075,1,Meridan St,Pittsburgh,PA,15211
House for rent,1250,3,1544 Rutherford Ave,Pittsburgh,PA,15216
Condo for rent,1205,1,270 Shady Ave APT 12,Pittsburgh,PA,15206
Apartment for rent,900,3,3241 Brighton Rd,Pittsburgh,PA,15212
House for rent,2600,4,1929 Jane St,Pittsburgh,PA,15203
Condo for rent,1150,2,389 Gross St APT B,Bloomfield,PA,15224
House for rent,1150,2,214 Kramer Way,Pittsburgh,PA,15211
House for rent,1250,3,2902 Cedric Ave,Pittsburgh,PA,15226
Apartment for rent,2000,4,1161 King Ave,Pittsburgh,PA,15206
Apartment for rent,1095,1,48 S 11th St # 1ST,Pittsburgh,PA,15203
House for rent,895,2,1335 Leaside Dr,Pittsburgh,PA,15207
Apartment for rent,900,1,214 Albert St,Pittsburgh,PA,15211
House for rent,1700,3,311 Whipple St,Pittsburgh,PA,15218
Apartment for rent,1150,2,216 Albert St,Pittsburgh,PA,15211
House for rent,1450,3,1129 Brookline Blvd,Pittsburgh,PA,15226
House for rent,1200,3,4304 Lydia St,Pittsburgh,PA,15207
House for rent,900,2,300 Santron Ave,Pittsburgh,PA,15210
Apartment for rent,1200,1,1206 E Carson St,Pittsburgh,PA,15203
House for rent,1600,2,2432 Patterson St,Pittsburgh,PA,15203
House for rent,1200,3,1369 Tennessee Ave,Pittsburgh,PA,15216
Apartment for rent,3250,5,417 Semple St # 2,Pittsburgh,PA,15213
Apartment for rent,2000,3,907 Western Ave # 1,Pittsburgh,PA,15233
House for rent,750,2,4935 Barberry St,Pittsburgh,PA,15207
Apartment for rent,900,1,322 Mckee Pl APT 1,Pittsburgh,PA,15213
Apartment for rent,1085,1,2410 Jane St,Pittsburgh,PA,15203
Apartment for rent,780,2,2357 Brownsville Rd APT 5,Pittsburgh,PA,15210
Apartment for rent,1195,1,1301 Muriel St,Pittsburgh,PA,15203
Apartment for rent,1095,1,1302 Muriel St,Pittsburgh,PA,15203
House for rent,3500,3,1530 Overton Ln,Pittsburgh,PA,15217
House for rent,2000,3,218 S Pacific Ave,Pittsburgh,PA,15224
House for rent,1400,2,2823 Edwards Way,Pittsburgh,PA,15203
Apartment for rent,1500,1,620 N Taylor Ave # 1,Pittsburgh,PA,15212
House for rent,1450,3,3621 Childs St,Pittsburgh,PA,15213
House for rent,800,2,515 Cato St,Pittsburgh,PA,15213
House for rent,1600,2,5233 Dresden Way,Pittsburgh,PA,15201
Apartment for rent,1195,2,1300 Muriel St,Pittsburgh,PA,15203
House for rent,800,3,228 Freeland St,Pittsburgh,PA,15210
House for rent,1200,2,919 Bellaire Ave,Pittsburgh,PA,15226
Apartment for rent,1100,1,5614 Walnut St,Pittsburgh,PA,15232
House for rent,900,3,445 Saint Joseph St,Pittsburgh,PA,15210
Townhouse for rent,900,2,3025 Texas Ave,Pittsburgh,PA,15216
Apartment for rent,1050,3,526 Mellon St,Pittsburgh,PA,15206
Apartment for rent,700,2,306 Fram St,Pittsburgh,PA,15208
Apartment for rent,1250,3,4608 Coleridge St # 3,Pittsburgh,PA,15201
Apartment for rent,600,1,4004 Vinceton St # 3,Pittsburgh,PA,15214
Townhouse for rent,1850,3,3062 Beechwood Blvd,Pittsburgh,PA,15217
Condo for rent,850,2,80 S 16th St # HOUSE,Pittsburgh,PA,15203
House for rent,825,2,709 Dornbush St,Pittsburgh,PA,15221
Apartment for rent,975,2,1615 Brownsville Rd,Pittsburgh,PA,15210
Apartment for rent,975,2,Dellrose St,Pittsburgh,PA,15210
House for rent,1250,3,1054 Lessing St,Pittsburgh,PA,15220
Apartment for rent,695,1,5469 Black St,Pittsburgh,PA,15206
House for rent,1100,2,1822 Carey Way,Pittsburgh,PA,15203
House for rent,1400,3,222 Paul St,Pittsburgh,PA,15211
Apartment for rent,850,2,3224 Faronia St,Pittsburgh,PA,15204
House for rent,2900,4,717 Copeland St,Pittsburgh,PA,15232
House for rent,1250,2,1929 Baldauf St,Pittsburgh,PA,15203
Apartment for rent,2600,4,311 Meyran Ave # 1,Pittsburgh,PA,15213
Apartment for rent,1075,1,7046 Penn Ave APT 2,Pittsburgh,PA,15208
Apartment for rent,895,1,1416 Sheffield St # 2,Pittsburgh,PA,15233
Apartment for rent,1250,2,129 S 18th St,Pittsburgh,PA,15203
House for rent,1700,3,184 Stanton Ct E,Pittsburgh,PA,15201
Apartment for rent,950,2,440 S Graham St APT 3,Pittsburgh,PA,15232
Apartment for rent,625,1,2853 Louisiana Ave APT 1R,Pittsburgh,PA,15216
House for rent,1125,3,603 Montview St,Pittsburgh,PA,15214
Apartment for rent,1850,2,423 Bailey Ave APT 2,Pittsburgh,PA,15211
House for rent,1400,2,705 Mclain St,Pittsburgh,PA,15210
House for rent,1300,2,635 Mclain St,Pittsburgh,PA,15210
House for rent,1800,3,1821 Jane St,Pittsburgh,PA,15203
Apartment for rent,1450,3,2552 Beechwood Blvd,Pittsburgh,PA,15217
House for rent,1295,3,2412 Leticoe St,Pittsburgh,PA,15203
Apartment for rent,1250,2,68 S 11th St # 2,Pittsburgh,PA,15203
House for rent,1295,3,2025 S 18th St,Pittsburgh,PA,15203
House for rent,1395,4,35 Welsh Way,Pittsburgh,PA,15203
Townhouse for rent,1350,3,3248 Ladoga St,Pittsburgh,PA,15204
Townhouse for rent,1300,3,102 Alpine Ave,Pittsburgh,PA,15212
Condo for rent,1700,1,320 Fort Duquesne Blvd APT 14A,Pittsburgh,PA,15222
Apartment for rent,850,2,5122 2nd Ave APT 2,Pittsburgh,PA,15207
Apartment for rent,1995,2,4734 Lorigan St # 2,Pittsburgh,PA,15224
House for rent,1100,3,1152 Ridgeland Dr,Pittsburgh,PA,15212
Apartment for rent,750,1,715 Moravian Way # 2,Pittsburgh,PA,15212
House for rent,1300,3,410 S Winebiddle St,Pittsburgh,PA,15224
House for rent,1100,2,1334 Gass Ave,Pittsburgh,PA,15212
House for rent,1350,2,5555 Camelia St,Pittsburgh,PA,15201
Apartment for rent,855,2,Plymouth St,Pittsburgh,PA,15211
Condo for rent,1600,4,10 Allendale Pl # HOUSE,Pittsburgh,PA,15228
Apartment for rent,1900,3,2100 Sidney St # 3,Pittsburgh,PA,15203
Apartment for rent,795,1,131 S 15th St FL 2ND,Pittsburgh,PA,15203
Townhouse for rent,1550,3,6374 Morrowfield Ave,Pittsburgh,PA,15217
House for rent,1350,2,569 Loretto Rd,Pittsburgh,PA,15217
Townhouse for rent,3450,6,3715 Parkview Ave,Pittsburgh,PA,15213
House for rent,1575,3,Beehner Rd,Pittsburgh,PA,15217
Apartment for rent,1350,2,Northumberland St,Pittsburgh,PA,15217
Apartment for rent,1580,2,6315 5th Ave APT 303,Pittsburgh,PA,15206
Townhouse for rent,1310,3,4416 Davison St,Pittsburgh,PA,15201
Apartment for rent,1000,1,1210 James St # 1,Pittsburgh,PA,15212
Townhouse for rent,1395,3,6214 Huntress St,Pittsburgh,PA,15206
Apartment for rent,900,1,328 N Craig St # B,Pittsburgh,PA,15213
Apartment for rent,625,1,2882 Dwight Ave FL 1ST,Pittsburgh,PA,15216
Apartment for rent,750,1,2880 Dwight Ave FL 3RD,Pittsburgh,PA,15216
Apartment for rent,700,2,3021 Ashlyn St # 2,Pittsburgh,PA,15204
Apartment for rent,825,2,4609 Friendship Ave # 2,Pittsburgh,PA,15224
Apartment for rent,1195,1,601 N Negley Ave # 7700214,Pittsburgh,PA,15206
House for rent,2800,3,5361 Beeler St,Pittsburgh,PA,15217
House for rent,1595,3,479 Norton St,Pittsburgh,PA,15211
House for rent,795,2,1326 Lowrie St,Pittsburgh,PA,15212
House for rent,1200,3,324 Tarragonna St,Pittsburgh,PA,15210
Townhouse for rent,3700,6,373 Semple St,Pittsburgh,PA,15213
Townhouse for rent,1700,3,1508 Sarah St,Pittsburgh,PA,15203
House for rent,1900,3,121 Chesterfield Rd,Pittsburgh,PA,15213
Apartment for rent,1388,2,5555 Hobart St,Pittsburgh,PA,15217
Apartment for rent,2365,4,6915 Meade St,Pittsburgh,PA,15208
Apartment for rent,1000,2,608 Filbert St APT 3,Pittsburgh,PA,15232
Townhouse for rent,1495,3,601 Beverly Rd,Pittsburgh,PA,15243
Apartment for rent,1450,2,Phillips Ave,Pittsburgh,PA,15217
Apartment for rent,1800,4,3474 Webster Ave,Pittsburgh,PA,15219
Apartment for rent,775,2,Avenue,Pittsburgh,PA,15204
Apartment for rent,850,1,Baker St,Pittsburgh,PA,15206
Apartment for rent,895,2,Stanton Ave,Pittsburgh,PA,15206
Apartment for rent,795,2,955 Berkshire Ave # 1,Pittsburgh,PA,15226
Apartment for rent,1450,1,119 Roup Ave,Pittsburgh,PA,15206
Apartment for rent,1295,2,Darlington Rd,Pittsburgh,PA,15217
House for rent,1200,4,2007 Plainview Ave,Pittsburgh,PA,15226
Apartment for rent,800,1,430 Greenfield Ave # 1,Pittsburgh,PA,15207
House for rent,1695,4,3229 1/2 Ward St,Pittsburgh,PA,15213
Townhouse for rent,1100,3,5317 Kincaid St,Pittsburgh,PA,15224
Apartment for rent,975,2,Tennessee Ave,Pittsburgh,PA,15216
Apartment for rent,900,1,3723 California Ave # 3,Pittsburgh,PA,15212
Apartment for rent,695,1,4451 Highridge St APT 4,Pittsburgh,PA,15214
Apartment for rent,1400,2,5454 Covode Pl # B,Pittsburgh,PA,15217
Apartment for rent,950,2,1028 E Warrington Ave APT 1,Pittsburgh,PA,15210
House for rent,1250,3,Eastmont Ave,Pittsburgh,PA,15216
Townhouse for rent,1100,2,210 Ella St,Pittsburgh,PA,15224
Townhouse for rent,1275,2,349 Old Gilkeson Rd,Pittsburgh,PA,15228
House for rent,1600,2,635 Vermont Ave,Pittsburgh,PA,15234
Apartment for rent,1450,1,4100 Butler St,Pittsburgh,PA,15201
House for rent,715,2,7025 Fielding Way,Pittsburgh,PA,15208
Apartment for rent,1400,1,2325 Sarah St # 1,Pittsburgh,PA,15203
Apartment for rent,1285,2,104 Newburn Dr APT 5,Pittsburgh,PA,15216
Apartment for rent,900,2,1211 Kelton Ave,Pittsburgh,PA,15216
House for rent,925,3,44 Bascom Ave,Pittsburgh,PA,15214
House for rent,999,2,5540 Columbo St,Pittsburgh,PA,15206
Apartment for rent,750,1,5228 Natrona Way # 1,Pittsburgh,PA,15201
Townhouse for rent,1595,3,4713 Lorigan St,Pittsburgh,PA,15224
Townhouse for rent,1300,2,339 Ella St,Pittsburgh,PA,15224
Townhouse for rent,1375,3,3918 Woolslayer Way,Pittsburgh,PA,15224
Townhouse for rent,1700,3,1147 King Ave,Pittsburgh,PA,15206
Townhouse for rent,2200,3,5712 Solway St,Pittsburgh,PA,15217
Apartment for rent,815,1,101 Central Sq APT 05,Mt Lebanon,PA,15228
Townhouse for rent,950,1,1913 Sidney St FL 1ST,Pittsburgh,PA,15203
Townhouse for rent,950,1,141 Central Sq,Pittsburgh,PA,15228
Apartment for rent,1045,1,2325 2327 Eldridge St # 6,Pittsburgh,PA,15217
House for rent,1300,3,624 Upper Rd,Pittsburgh,PA,15228
Apartment for rent,900,3,1314 Arkansas Ave # 2,Pittsburgh,PA,15216
Apartment for rent,750,1,200 S Winebiddle St # 1,Pittsburgh,PA,15224
Apartment for rent,1932,2,220 Heinz St,Pittsburgh,PA,15212
Apartment for rent,1300,2,104 Newburn Dr APT 1,Pittsburgh,PA,15216
Townhouse for rent,1040,3,6602 Rowan St Pittsburgh Pa # 15206,Pittsburgh,PA,15206
Apartment for rent,750,2,2432 Lynnbrook Ave APT 1,Pittsburgh,PA,15226
Apartment for rent,1395,3,78 Wyoming St,Pittsburgh,PA,15211
House for rent,1000,5,7135 Upland St,Pittsburgh,PA,15208
Apartment for rent,850,2,1010 Liverpool St # 2,Pittsburgh,PA,15233
Apartment for rent,2600,3,66 Pius St APT 302,Pittsburgh,PA,15203
Apartment for rent,970,1,4628 Bayard St APT B2,Pittsburgh,PA,15213
Apartment for rent,1995,1,2105 Sarah St # LOFT,Pittsburgh,PA,15203
Townhouse for rent,1295,2,5549 Phillips Ave,Pittsburgh,PA,15217
House for rent,1200,2,500 N Mathilda St,Pittsburgh,PA,15224
Apartment for rent,795,1,841 Heberton St APT 3,Pittsburgh,PA,15206
House for rent,987,2,1521 Davis Ave,Pittsburgh,PA,15212
Apartment for rent,1675,3,6711 Mcpherson Blvd,Pittsburgh,PA,15208
Townhouse for rent,985,3,1504 Hillsdale Ave,Pittsburgh,PA,15216
House for rent,1350,3,420 Pearl St,Pittsburgh,PA,15224
House for rent,950,3,2503 Arlington Ave,Pittsburgh,PA,15210
Apartment for rent,895,1,3270 Dell Ave APT 1,Pittsburgh,PA,15216
Apartment for rent,1900,4,Thomas Blvd,Pittsburgh,PA,15208
Apartment for rent,1050,2,471 Norton St # 1,Pittsburgh,PA,15211
Apartment for rent,1400,2,316 S Pacific Ave # 2,Pittsburgh,PA,15224
House for rent,1460,3,124 Bigham St,Pittsburgh,PA,15211
Apartment for rent,1295,3,51 S 21st St # 2,Pittsburgh,PA,15203
Townhouse for rent,1500,3,3432 Ward St,Pittsburgh,PA,15213
Apartment for rent,2100,3,6811 Thomas Blvd # 3,Pittsburgh,PA,15208
Apartment for rent,850,2,974 Manton Way # 1,Pittsburgh,PA,15210
House for rent,1200,3,1926 Saint Paul St,Pittsburgh,PA,15203
Apartment for rent,995,2,5858 Morrowfield Ave,Pittsburgh,PA,15217
Apartment for rent,895,2,702 Lorenz Ave # 2,Pittsburgh,PA,15220
Apartment for rent,1200,2,407 Semple St # 6,Pittsburgh,PA,15213
Apartment for rent,1620,3,2008 E Carson St # 2,Pittsburgh,PA,15203
Apartment for rent,1500,4,5954 Phillips Ave,Pittsburgh,PA,15217
House for rent,1375,3,636 Griffin St,Pittsburgh,PA,15211
Townhouse for rent,795,2,54 Briggs St # 2,Pittsburgh,PA,15234
Apartment for rent,1095,2,1822 Mary St # 2,Pittsburgh,PA,15203
House for rent,1350,3,2130 S 18th St,Pittsburgh,PA,15203
House for rent,1700,3,2814 Sarah St,Pittsburgh,PA,15203
House for rent,1600,4,358 Ophelia St,Pittsburgh,PA,15213
House for rent,2500,5,363 Semple St,Pittsburgh,PA,15213
House for rent,2200,3,3410 Allequippa St,Pittsburgh,PA,15213
Apartment for rent,2745,2,5934 Elwood St,Pittsburgh,PA,15232
House for rent,2350,5,5627 Jackson St,Pittsburgh,PA,15206
Apartment for rent,975,2,4614 Friendship Ave # 2,Pittsburgh,PA,15224
House for rent,925,3,3734 East St,Pittsburgh,PA,15214
Apartment for rent,1800,3,352 S Pacific Ave # 1,Pittsburgh,PA,15224
House for rent,1975,4,429 Carnegie Dr,Pittsburgh,PA,15243
Apartment for rent,1400,3,627 Chislett St # 2,Pittsburgh,PA,15206
House for rent,1450,2,326 Orwell Way,Pittsburgh,PA,15224
House for rent,1500,3,727 Arlington Ave,Pittsburgh,PA,15203
Townhouse for rent,1295,2,1852 Rose St # 2,Pittsburgh,PA,15219
Apartment for rent,995,2,5854 Morrowfield Ave,Pittsburgh,PA,15217
Apartment for rent,1250,1,1035 Chislett St # 3,Pittsburgh,PA,15206
Apartment for rent,1080,2,749 S Millvale Ave # 42,Pittsburgh,PA,15213
Apartment for rent,1250,3,2747 Merwyn Ave # CODE,Pittsburgh,PA,15204
House for rent,1750,5,747 Mccaslin St,Pittsburgh,PA,15217
Apartment for rent,685,1,2222 Broadway Ave,Pittsburgh,PA,15216
House for rent,1500,2,2309 Berg St,Pittsburgh,PA,15203
House for rent,1295,3,2345 Beaufort Ave,Pittsburgh,PA,15226
Apartment for rent,1250,4,3128 Bergman St # 31288,Pittsburgh,PA,15204
Apartment for rent,640,1,4618 Liberty Ave # 1,Pittsburgh,PA,15224
Apartment for rent,595,1,1823 Niggel St,Pittsburgh,PA,15212
Apartment for rent,1275,2,162 S 18th St,Pittsburgh,PA,15203
Apartment for rent,1097,2,1707 Edwards Way # 1,Pittsburgh,PA,15203
Apartment for rent,1350,3,3518 Beechwood Blvd # 2,Pittsburgh,PA,15217
House for rent,1250,3,Mission St,Pittsburgh,PA,15203
House for rent,1295,3,439 Taylor St,Pittsburgh,PA,15224
Townhouse for rent,1495,3,65 Greenbush St,Pittsburgh,PA,15211
Apartment for rent,895,2,135 Pearl St # 2,Pittsburgh,PA,15224
Apartment for rent,750,1,2087 Plainview Ave # 1,Pittsburgh,PA,15226
Apartment for rent,900,1,765 Broughton St APT 5,Oakland,PA,15213
Apartment for rent,750,1,754 Brookline Blvd APT 5,Pittsburgh,PA,15226
House for rent,1350,3,Serrano Ave,Pittsburgh,PA,15243
House for rent,750,2,Coleridge St,Pittsburgh,PA,15201
Apartment for rent,815,2,2319 Athena St,Pittsburgh,PA,15210
Apartment for rent,800,2,834 Windom St FL 2,Pittsburgh,PA,15203
Apartment for rent,1150,4,541 Sherwood Ave APT 2,Pittsburgh,PA,15204
Apartment for rent,895,3,1921 Morrell St APT 2,Pittsburgh,PA,15212
Apartment for rent,1095,2,311 Amber St APT 3,Pittsburgh,PA,15206
House for rent,1200,3,3221 Niagara St,Pittsburgh,PA,15213
Apartment for rent,1000,3,198 Claremont Ave,Buffalo,NY,14222
Apartment for rent,575,1,138 Reiman St,Buffalo,NY,14206
Apartment for rent,1400,3,153 Lovering Ave,Buffalo,NY,14216
Apartment for rent,1250,3,264 Hoyt St # 2,Buffalo,NY,14213
Apartment for rent,700,2,375 Leroy Ave,Buffalo,NY,14214
Apartment for rent,1250,3,234 Lovering Ave,Buffalo,NY,14216
Apartment for rent,1000,2,498 Linden Ave,Buffalo,NY,14216
Apartment for rent,650,2,553 W Utica St APT 2,Buffalo,NY,14213
Apartment for rent,950,3,15 Sunset St,Buffalo,NY,14207
Apartment for rent,1350,3,701 Lafayette Ave,Buffalo,NY,14222
Apartment for rent,675,1,119 Massachusetts Ave # 1,Buffalo,NY,14213
Apartment for rent,675,2,586 Wyoming Ave,Buffalo,NY,14215
Apartment for rent,1000,1,104 Johnson Park APT 1,Buffalo,NY,14201
Apartment for rent,850,3,79 Princeton Pl,Buffalo,NY,14210
Apartment for rent,780,2,1010 Kenmore Ave,Buffalo,NY,14216
Apartment for rent,775,2,2323 Main St # 2,Buffalo,NY,14214
Apartment for rent,700,3,420 Gold St,Buffalo,NY,14206
Apartment for rent,1250,2,298 Colvin Ave,Buffalo,NY,14216
Apartment for rent,1075,3,31 Wildwood Pl,Buffalo,NY,14210
Apartment for rent,650,2,17 Wyandotte Ave,Buffalo,NY,14207
Apartment for rent,900,4,44 Linden Park,Buffalo,NY,14208
Apartment for rent,950,3,139 Harding Rd # 2,Buffalo,NY,14220
Apartment for rent,850,1,264 Whitney Pl APT 3,Buffalo,NY,14201
Apartment for rent,895,2,264 Whitney Pl APT 1,Buffalo,NY,14201
Apartment for rent,650,2,25 Ivy St # 2,Buffalo,NY,14211
Apartment for rent,650,2,187 Melrose St APT 4,Buffalo,NY,14210
Apartment for rent,750,3,244 Brinkman Ave,Buffalo,NY,14211
Apartment for rent,600,2,63 Deshler St,Buffalo,NY,14212
Apartment for rent,775,2,799 Niagara St APT 4,Buffalo,NY,14213
Townhouse for rent,1155,3,132 Blaine Ave,Buffalo,NY,14208
Apartment for rent,700,2,Albert Ave,Buffalo,NY,14207
Apartment for rent,750,2,Davidson Ave,Buffalo,NY,14215
Apartment for rent,840,2,746 Lafayette Ave # 3,Buffalo,NY,14222
Apartment for rent,825,2,705 Saint Lawrence Ave,Buffalo,NY,14216
Apartment for rent,800,1,420 Jersey St # 2,Buffalo,NY,14213
Apartment for rent,800,3,879 Niagara St,Buffalo,NY,14213
Apartment for rent,1400,3,Lovering Ave,Buffalo,NY,14216
Apartment for rent,825,1,76 Tracy St APT 3,Buffalo,NY,14201
Apartment for rent,675,2,134 Albany Street # 2nd,Buffalo,NY,14213
Apartment for rent,1200,3,Potomac Ave,Buffalo,NY,14213
Apartment for rent,650,1,190 York St LOWR #,Buffalo,NY,14213
House for rent,1295,2,Crescent Ave,Buffalo,NY,14214
Apartment for rent,1000,1,139 14th St LOWR #,Buffalo,NY,14213
Apartment for rent,800,1,37 Greenfield St # 2,Buffalo,NY,14214
House for rent,975,2,356 S Ogden St,Buffalo,NY,14206
Apartment for rent,750,3,70 Warring Ave # 2,Buffalo,NY,14211
Apartment for rent,725,2,270 Sanders Rd APT 5,Buffalo,NY,14216
Apartment for rent,775,2,266 Sanders Rd APT 3,Buffalo,NY,14216
Apartment for rent,850,3,50 Cornwall Ave FL 1ST,Buffalo,NY,14215
Apartment for rent,900,1,245 Gorton St,Buffalo,NY,14207
Apartment for rent,695,1,53 Robie St APT 2,Buffalo,NY,14214
Apartment for rent,1000,1,128 York St # 2,Buffalo,NY,14213
Apartment for rent,800,2,353 Hoyt St,Buffalo,NY,14213
House for rent,1100,4,247 Stockbridge Ave,Buffalo,NY,14215
Apartment for rent,900,3,159 Potomac Ave,Buffalo,NY,14213
Apartment for rent,900,2,44 Proctor Ave,Buffalo,NY,14215
Apartment for rent,950,2,291 Bryant St,Buffalo,NY,14222
Apartment for rent,825,3,392 Marilla St # 1,Buffalo,NY,14220
Apartment for rent,695,2,31 Houston St,Buffalo,NY,14220
Apartment for rent,775,3,72 Woodside Ave # 2,Buffalo,NY,14220
Apartment for rent,650,2,23 Roosevelt Ave FL 2ND,Buffalo,NY,14215
Apartment for rent,750,3,75 Schutrum St,Buffalo,NY,14212
Apartment for rent,825,2,239 Roesch Ave APT 2,Buffalo,NY,14207
Apartment for rent,650,2,49 Fay St FL 2ND,Buffalo,NY,14211
Apartment for rent,650,2,103 N Ogden St,Buffalo,NY,14206
Apartment for rent,650,2,1388 E Delavan Avenue # 2nd,Buffalo,NY,14215
Apartment for rent,550,1,251 Roslyn St # 2,Buffalo,NY,14215
Apartment for rent,795,2,101 Bloomfield Ave,Buffalo,NY,14220
Apartment for rent,1250,2,105 Florence Ave # 2,Buffalo,NY,14214
Apartment for rent,800,3,105 Carlyle Ave # 2,Buffalo,NY,14220
Apartment for rent,800,3,677 Minnesota Ave,Buffalo,NY,14215
House for rent,1050,5,63 Stevens Ave,Buffalo,NY,14215
Apartment for rent,700,2,68 Janet St,Buffalo,NY,14215
Apartment for rent,1000,3,145 16th St # 1,Buffalo,NY,14213
Apartment for rent,750,1,131 Southside Pkwy APT 6,Buffalo,NY,14220
Apartment for rent,1100,3,Maywood Pl,Buffalo,NY,14210
Apartment for rent,1475,2,819 Auburn Ave,Buffalo,NY,14222
Apartment for rent,1050,3,730 Amherst St,Buffalo,NY,14216
Apartment for rent,850,2,41 Grove St,Buffalo,NY,14207
Apartment for rent,700,3,142 Stewart Ave FL 2ND,Buffalo,NY,14211
Apartment for rent,895,1,104 York Street # 2nd,Buffalo,NY,14213
Apartment for rent,1195,3,1084 Parkside Ave # 2,Buffalo,NY,14214
Apartment for rent,1300,2,339 Bryant St,Buffalo,NY,14222
Apartment for rent,1300,3,407 Norwood Ave APT 3,Buffalo,NY,14222
Apartment for rent,1250,1,211 Highland Ave APT 4,Buffalo,NY,14222
Apartment for rent,1500,2,54 Mariner St # 1,Buffalo,NY,14201
Apartment for rent,950,2,70 Tacoma Ave,Buffalo,NY,14216
Apartment for rent,900,1,32 Lovering Ave UPPR #,Buffalo,NY,14216
Apartment for rent,900,2,1154 Parkside Ave,Buffalo,NY,14214
Apartment for rent,1350,3,423 Parkside Ave,Buffalo,NY,14216
Condo for rent,2950,3,32 Harbour Pointe Cmn,Buffalo,NY,14202
Apartment for rent,3800,2,132 Lakefront Blvd UNIT 504,Buffalo,NY,14202
Apartment for rent,700,1,46 Oxford Ave APT 3,Buffalo,NY,14209
Apartment for rent,800,2,72 Nicholson St,Buffalo,NY,14214
Apartment for rent,750,3,312 Herkimer St,Buffalo,NY,14213
Apartment for rent,799,1,958 Delaware Ave APT 3,Buffalo,NY,14209
Apartment for rent,600,1,20 Peoria St,Buffalo,NY,14207
Apartment for rent,975,1,Richmond Ave,Buffalo,NY,14222
Apartment for rent,2125,5,33 Glendale Pl # 2,Buffalo,NY,14208
Apartment for rent,600,1,306 Maryland St # 2,Buffalo,NY,14201
Apartment for rent,800,3,110 Miller Ave,Buffalo,NY,14212
Apartment for rent,725,1,828 West Ave,Buffalo,NY,14213
Apartment for rent,900,2,106 Reiman Street # First Floor,Buffalo,NY,14206
Apartment for rent,1100,3,177 Ridgewood Rd,Buffalo,NY,14220
Apartment for rent,1195,3,91 Cottage St,Buffalo,NY,14201
Apartment for rent,500,1,153 Sumner Pl,Buffalo,NY,14211
Apartment for rent,1200,3,405 Parkdale Avenue # Second Floor,Buffalo,NY,14213
Apartment for rent,650,2,Minnesota Ave,Buffalo,NY,14215
Apartment for rent,850,2,49 N Pearl St,Buffalo,NY,14202
Apartment for rent,750,3,239 Hewitt Ave,Buffalo,NY,14215
Apartment for rent,600,2,233 Sumner Pl # 2,Buffalo,NY,14211
Apartment for rent,1000,1,702 Columbus Pkwy,Buffalo,NY,14213
Apartment for rent,700,2,76 Edison Ave FL 1ST,Buffalo,NY,14215
Apartment for rent,750,3,1116 E Delavan Ave,Buffalo,NY,14215
Apartment for rent,1250,3,Claremont Ave,Buffalo,NY,14222
Apartment for rent,1350,3,Virgil Ave,Buffalo,NY,14216
House for rent,1500,3,19 Montrose Ave,Buffalo,NY,14214
Apartment for rent,750,2,1587 S Park Ave,Buffalo,NY,14220
Apartment for rent,875,2,655 Lisbon Ave,Buffalo,NY,14215
Apartment for rent,900,3,156 W Winspear Ave # 1,Buffalo,NY,14214
Apartment for rent,1175,2,689 Linwood Ave,Buffalo,NY,14209
Apartment for rent,650,2,19 Pulaski St,Buffalo,NY,14206
Apartment for rent,1175,3,418 W Delavan Ave,Buffalo,NY,14213
House for rent,985,4,32 Edson St,Buffalo,NY,14210
House for rent,1000,4,Winslow Ave,Buffalo,NY,14208
Apartment for rent,1325,2,1937 Hertel Ave,Buffalo,NY,14214
Apartment for rent,850,2,160 Dundee Street # Second Floor,Buffalo,NY,14220
Apartment for rent,1750,3,344 Colvin Ave,Buffalo,NY,14216
Apartment for rent,900,3,192 E Delavan Ave # 2,Buffalo,NY,14208
Apartment for rent,550,1,122 Gibson St # 1,Buffalo,NY,14212
Apartment for rent,950,3,220 E Delavan Ave,Buffalo,NY,14208
Apartment for rent,775,2,641 Lasalle Ave,Buffalo,NY,14215
Apartment for rent,750,2,358 Newburgh Ave,Buffalo,NY,14215
Apartment for rent,850,1,295 Ashland Ave APT 19,Buffalo,NY,14222
Apartment for rent,875,2,559-563 Kenmore Ave # 559LOWER,Buffalo,NY,14223
Apartment for rent,1099,3,19 Hodge Ave # B,Buffalo,NY,14222
Apartment for rent,975,3,55 Kamper Ave,Buffalo,NY,14210
Apartment for rent,750,2,878 Niagara St,Buffalo,NY,14213
Apartment for rent,1250,3,Crestwood Ave,Buffalo,NY,14216
Apartment for rent,800,2,235 Lisbon Ave # 2,Buffalo,NY,14215
Apartment for rent,1600,4,121 Loring Ave # 2,Buffalo,NY,14208
House for rent,1800,6,74 Meech Ave,Buffalo,NY,14208
House for rent,1300,4,615 E Amherst St,Buffalo,NY,14215
Apartment for rent,1650,1,14 Saint Louis Pl # 14,Buffalo,NY,14202
Apartment for rent,675,2,2055 Niagara St,Buffalo,NY,14207
Apartment for rent,650,2,2002 Fillmore Ave # 1,Buffalo,NY,14214
Apartment for rent,1500,1,Cottage St,Buffalo,NY,14201
Apartment for rent,600,2,269 Shumway St,Buffalo,NY,14212
Apartment for rent,750,1,162 Bird Ave,Buffalo,NY,14213
Apartment for rent,1350,3,480 Woodward Ave,Buffalo,NY,14214
Apartment for rent,1550,2,284 Richmond Avenue # Second Floor,Buffalo,NY,14222
Apartment for rent,1250,3,434 Potomac Ave # 2,Buffalo,NY,14213
