Type Of House,Price,Street,City,State,Zip
House for sale,949900,5121 Ellsworth Ave,Pittsburgh,PA,15232
For sale by owner,60000,2524 Maple Ave,Pittsburgh,PA,15214
Foreclosure,14900,2925 Devlin St,Pittsburgh,PA,15210
House for sale,329000,854 Bower Hill Rd,Pittsburgh,PA,15243
House for sale,365000,844 Ella St,Pittsburgh,PA,15243
House for sale,690000,5124 Friendship Ave,Pittsburgh,PA,15224
House for sale,144900,91 Briggs St,Pittsburgh,PA,15234
House for sale,517500,304 William St,Pittsburgh,PA,15203
House for sale,119700,330 Dunlap St,Pittsburgh,PA,15214
House for sale,1295000,151 Ordale Blvd,Pittsburgh,PA,15228
House for sale,659000,1410 Pennsylvania Ave,Pittsburgh,PA,15233
House for sale,388000,896 Lovingston Dr,Pittsburgh,PA,15216
Auction,158981,1642 Jancey St,Pittsburgh,PA,15206
House for sale,899900,87 Woodland Dr,Pittsburgh,PA,15228
House for sale,1250000,1235 Parkview Blvd,Pittsburgh,PA,15217
House for sale,175000,911 Kennebec St,Pittsburgh,PA,15217
House for sale,199900,907 Deely St,Pittsburgh,PA,15217
House for sale,265000,513 Peebles St,Pittsburgh,PA,15221
Auction,103391,1211 Arkansas Ave,Pittsburgh,PA,15216
Apartment for sale,129000,3537 California Ave,Pittsburgh,PA,15212
House for sale,749900,807 Valleyview Rd,Pittsburgh,PA,15243
House for sale,199900,3532 Melwood Ave,Pittsburgh,PA,15213
House for sale,135000,1831 Fallowfield Ave,Pittsburgh,PA,15216
House for sale,318000,247 S Pacific Ave,Pittsburgh,PA,15224
House for sale,245000,208 Oriole Dr,Pittsburgh,PA,15220
House for sale,1025000,91 Woodland Dr,Mt Lebanon,PA,15228
House for sale,47500,2311 Spring St,Pittsburgh,PA,15210
Townhouse for sale,299000,5143 Coral St,Pittsburgh,PA,15224
House for sale,157000,4830 Giddings St,Pittsburgh,PA,15207
House for sale,399900,831 Boggs Ave,Mt Washington,PA,15211
House for sale,40000,121 Hawkins Ave,Pittsburgh,PA,15214
For sale by owner,70000,1302 Lowrie St,Pittsburgh,PA,15212
House for sale,349900,5246 Harrison St,Pittsburgh,PA,15201
House for sale,339500,5892 Hobart St,Pittsburgh,PA,15217
House for sale,474900,422 Sweetbriar St,Pittsburgh,PA,15211
House for sale,39900,3408 California Ave,Pittsburgh,PA,15212
House for sale,428500,105 Oak Park Pl,Pittsburgh,PA,15243
Auction,152878,221 Questend Ave,Pittsburgh,PA,15228
House for sale,14900,7040 Kedron St,Pittsburgh,PA,15208
House for sale,289900,216 Fingal St,Mt Washington,PA,15211
House for sale,399900,2060 Kearns Ave,Pittsburgh,PA,15205
House for sale,619900,5216 Keystone St,Pittsburgh,PA,15201
House for sale,375000,5500 Raleigh St,Pittsburgh,PA,15217
Townhouse for sale,459000,138 Bigham St,Pittsburgh,PA,15211
Condo for sale,239000,5903 5th Ave APT 107,Pittsburgh,PA,15232
Pre-foreclosure / Auction,433059,100 Denniston St APT 47,Pittsburgh,PA,15206
House for sale,375000,5872 Darlington Rd,Pittsburgh,PA,15217
Apartment for sale,799900,314 Merrimac St # 316,Mt Washington,PA,15211
House for sale,369000,240 Inglewood Dr,Mt Lebanon,PA,15228
House for sale,163900,678 Southcrest Dr,Pittsburgh,PA,15226
House for sale,599999,1630 Biltmore Ln,Pittsburgh,PA,15217
House for sale,618500,821 White Oak Cir,Mt Lebanon,PA,15228
House for sale,319900,4838 Hatfield St,Pittsburgh,PA,15201
Co-op for sale,359000,1160 Bower Hill Rd PH 1A,Pittsburgh,PA,15243
House for sale,189000,1022 Berkshire Ave,Pittsburgh,PA,15226
Apartment for sale,119900,900 Washington Rd APT 405,Mt Lebanon,PA,15228
House for sale,222000,1146 Love St,Pittsburgh,PA,15218
For sale by owner,189999,4424 Milgate St,Pittsburgh,PA,15224
House for sale,435000,7036 Reynolds St,Pittsburgh,PA,15208
House for sale,585000,182 44th St,Pittsburgh,PA,15201
House for sale,429900,145 Main Entrance Dr,Mt Lebanon,PA,15228
House for sale,465000,5259 Carnegie St,Pittsburgh,PA,15201
House for sale,340000,7730 Lyman St,Pittsburgh,PA,15221
Apartment for sale,129900,1604 Forsythe St,Pittsburgh,PA,15212
House for sale,29999,3150 Lecky Ave,Pittsburgh,PA,15212
House for sale,429000,5543 Pocusset St,Pittsburgh,PA,15217
Auction,135286,701 Kendall St,Pittsburgh,PA,15201
House for sale,189000,1017 Tropical Ave,Pittsburgh,PA,15216
House for sale,199900,1616 Meadville St,Pittsburgh,PA,15214
Condo for sale,280000,1825 Arcena St # 2,Pittsburgh,PA,15219
House for sale,33900,5215 Kincaid St,Pittsburgh,PA,15224
Townhouse for sale,425000,715 52nd St,Pittsburgh,PA,15201
Condo for sale,619999,11 5th Ave APT 201,Pittsburgh,PA,15222
House for sale,699900,132 S Linden Ave,Pittsburgh,PA,15208
House for sale,1295000,625 Pitcairn Pl,Pittsburgh,PA,15232
House for sale,310000,6395 Stanton Ave,Pittsburgh,PA,15206
Pre-foreclosure / Auction,0,1046 Lyndhurst Dr,Pittsburgh,PA,15206
For sale by owner,130000,440 Enright Ct,Pittsburgh,PA,15206
Condo for sale,225000,5512 Centre Ave APT 6,Pittsburgh,PA,15232
House for sale,475000,1218 Sherman Ave,Pittsburgh,PA,15212
House for sale,307000,4021 Ludwick St,Pittsburgh,PA,15217
House for sale,220000,1712 Montpelier Ave,Pittsburgh,PA,15216
House for sale,369900,1409 W North Ave,Pittsburgh,PA,15233
House for sale,465000,5812 Morrowfield Ave,Pittsburgh,PA,15217
House for sale,205000,346 Miller St,Pittsburgh,PA,15219
House for sale,249900,209 Augusta St,Mt Washington,PA,15211
House for sale,425000,1021 Grandview Ave,Pittsburgh,PA,15211
House for sale,294900,442 William St,Mount Washington,PA,15211
Condo for sale,215000,501 S Highland Ave APT 3,Pittsburgh,PA,15206
House for sale,199900,334 Amabell St,Pittsburgh,PA,15211
House for sale,87500,1906 Chateau St,Pittsburgh,PA,15233
House for sale,339900,422 Lockhart St,Pittsburgh,PA,15212
House for sale,278777,4840 Hatfield St,Pittsburgh,PA,15201
House for sale,148000,1818 Duffield St,Pittsburgh,PA,15206
House for sale,450000,4402 Butler St,Pittsburgh,PA,15201
House for sale,219900,2944 Voelkel Ave,Pittsburgh,PA,15216
House for sale,189900,3045 Earlsmere Ave,Pittsburgh,PA,15216
Townhouse for sale,1100000,246 42nd St,Pittsburgh,PA,15201
Foreclosure,37000,1228 Itin St,Pittsburgh,PA,15212
House for sale,179900,2734 Miles Ave,Pittsburgh,PA,15216
Condo for sale,269900,5709 Elmer St APT 201,Pittsburgh,PA,15232
House for sale,246500,5148 Dresden Way,Pittsburgh,PA,15201
House for sale,159800,1644 Ordinance Ave,Pittsburgh,PA,15216
House for sale,289900,4123 Rosalia Pl,Pittsburgh,PA,15207
House for sale,45000,7157 Verona Blvd,Pittsburgh,PA,15235
House for sale,339000,5455 Stanton Ave,Pittsburgh,PA,15206
House for sale,379900,1111 Farragut St,Pittsburgh,PA,15206
House for sale,599900,1701 Greenleaf St,Mt Washington,PA,15211
Foreclosure,45000,722 Litchfield St,Pittsburgh,PA,15204
House for sale,147000,2443 Starkamp St,Pittsburgh,PA,15226
Auction,23127,7121 Race St,Pittsburgh,PA,15208
Foreclosure,42900,2436 Wilson Ave,Pittsburgh,PA,15214
Apartment for sale,625000,4738 4740 Friendship Ave,Pittsburgh,PA,15224
Foreclosure,40200,408 Minton St,Pittsburgh,PA,15204
House for sale,575000,6203 Monitor St,Pittsburgh,PA,15217
House for sale,279900,342 Service Way,Pittsburgh,PA,15201
House for sale,169900,813 Rossmore Ave,Pittsburgh,PA,15226
Townhouse for sale,318000,414 Tripoli St,Pittsburgh,PA,15212
House for sale,159900,2017 Altmar St,Pittsburgh,PA,15226
Condo for sale,339900,320 Fort Duquesne Blvd APT 10L,Pittsburgh,PA,15222
House for sale,311500,6316 Ebdy St,Pittsburgh,PA,15217
For sale by owner,299000,239 Questend Ave,Pittsburgh,PA,15228
House for sale,215000,4931 Yew St,Pittsburgh,PA,15224
House for sale,378888,5316 Keystone St,Pittsburgh,PA,15201
House for sale,649000,1 Waterside Pl,Pittsburgh,PA,15222
Auction,73976,133 Owendale Ave,Pittsburgh,PA,15227
House for sale,409000,6492 Monitor St,Pittsburgh,PA,15217
Auction,70000,28 Allen St,Pittsburgh,PA,15210
Apartment for sale,109900,1912 Larkins Way,Pittsburgh,PA,15203
House for sale,120000,5217 Kincaid St,Pittsburgh,PA,15224
House for sale,254900,474 Duquesne Dr,Pittsburgh,PA,15243
House for sale,218900,715 Southern Ave,Mount Washington,PA,15211
House for sale,139777,2414 Custer Ave,Pittsburgh,PA,15210
Condo for sale,745000,111 Grandview Ave APT 703,Pittsburgh,PA,15211
House for sale,548000,232 S Mathilda St,Pittsburgh,PA,15224
House for sale,150000,4039 Haldane St,Pittsburgh,PA,15207
Condo for sale,299000,320 Fort Duquesne Blvd APT 11L,Pittsburgh,PA,15222
House for sale,259900,219 Jonquil Pl,Mt Lebanon,PA,15228
House for sale,169000,1133 Woodbourne Ave,Pittsburgh,PA,15226
House for sale,178500,1017 Sarah St,Pittsburgh,PA,15203
House for sale,525000,605 N Saint Clair St,Pittsburgh,PA,15206
House for sale,230000,4239 Upview Ter,Pittsburgh,PA,15201
Auction,92160,3534 Centralia St,Pittsburgh,PA,15204
For sale by owner,140000,129 Baywood Ave APT TA2,Pittsburgh,PA,15228
House for sale,370000,40 Timberline Ct,Pittsburgh,PA,15217
House for sale,169900,3766 Orpwood St,Pittsburgh,PA,15213
House for sale,243000,7724 Edgerton Ave,Pittsburgh,PA,15221
House for sale,249000,3128 Mary St,Pittsburgh,PA,15203
Foreclosure,16000,1431 Herrod St,Pittsburgh,PA,15220
Townhouse for sale,445000,3 Waterside Pl,Pittsburgh,PA,15222
For sale by owner,375000,300-306 Fourth Ave # 1604,Pittsburgh,PA,15222
Apartment for sale,575000,256 S Evaline St,Pittsburgh,PA,15224
House for sale,199900,1922 Antietam St,Pittsburgh,PA,15206
Auction,140812,928 Clarissa St,Pittsburgh,PA,15219
House for sale,845000,24 Rosemont Ln,Pittsburgh,PA,15217
House for sale,375000,5641 Carnegie St,Pittsburgh,PA,15201
House for sale,60000,4936 Barberry St,Pittsburgh,PA,15207
House for sale,299900,2811 Jane St,Pittsburgh,PA,15203
House for sale,359000,3329 Juliet St,Pittsburgh,PA,15213
Pre-foreclosure / Auction,0,5640 Elgin St,Pittsburgh,PA,15206
House for sale,420000,196 Vee Lynn Dr,Pittsburgh,PA,15228
Townhouse for sale,430000,1704 S Shore Ct,Pittsburgh,PA,15203
Condo for sale,999900,537 N Neville St APT 3C,Pittsburgh,PA,15213
House for sale,134900,1531 Berkshire Ave,Pittsburgh,PA,15226
Townhouse for sale,249900,508 Bigham St,Mt Washington,PA,15211
Condo for sale,770000,5000 5th Ave APT 208,Pittsburgh,PA,15232
Foreclosure,39900,8367 Bricelyn St,Pittsburgh,PA,15221
Pre-foreclosure / Auction,262217,402 Royal Ct,Pittsburgh,PA,15234
House for sale,219000,2407 Sarah St,Pittsburgh,PA,15203
House for sale,249000,298 Kenmont Ave,Pittsburgh,PA,15216
House for sale,35000,818 Newton St,Pittsburgh,PA,15203
Auction,66082,3521 Fleming Ave,Pittsburgh,PA,15212
House for sale,569800,5146 Keystone St,Pittsburgh,PA,15201
House for sale,89000,1871 Noblestown Rd,Pittsburgh,PA,15205
House for sale,265000,15 Iroquois Dr,Mt Lebanon,PA,15228
Pre-foreclosure / Auction,208275,905 Parkview Dr,Pittsburgh,PA,15243
House for sale,728000,192 Cochran Rd,Pittsburgh,PA,15228
House for sale,229900,2611 Broadway Ave,Pittsburgh,PA,15216
House for sale,274900,5420 Bossart St,Pittsburgh,PA,15206
House for sale,149900,1118 Freyburg St,Pittsburgh,PA,15203
House for sale,179900,3221 Mary St,Pittsburgh,PA,15203
Townhouse for sale,315000,5456 Pocusset St,Pittsburgh,PA,15217
House for sale,149900,41 Claus Ave,Pittsburgh,PA,15227
House for sale,159900,1516 Tyndall St,Pittsburgh,PA,15204
House for sale,179900,491 Marietta Pl,Mt Lebanon,PA,15228
House for sale,339000,6234 Saint Marie St,Pittsburgh,PA,15206
Townhouse for sale,274900,512 Bigham St,Mt Washington,PA,15211
House for sale,575000,1228 Arch St,Pittsburgh,PA,15212
For sale by owner,715678,3533 Butler St,Pittsburgh,PA,15201
House for sale,49500,6640 Marietta St,Pittsburgh,PA,15206
House for sale,199000,262 Service Way,Pittsburgh,PA,15201
Auction,245068,3939 Lydia St,Pittsburgh,PA,15207
Condo for sale,467400,151 Fort Pitt Blvd APT 502,Pittsburgh,PA,15222
Pre-foreclosure / Auction,143514,210 Birch Ave,Pittsburgh,PA,15228
For sale by owner,20000,31 Baldwick Rd,Pittsburgh,PA,15205
House for sale,799900,308 Merrimac St,Mt Washington,PA,15211
House for sale,750000,19 Rosemont Ln,Pittsburgh,PA,15217
House for sale,199900,915 Deely St,Pittsburgh,PA,15217
House for sale,39900,1291 Clairhaven St,Pittsburgh,PA,15205
Make Me MoveÂ®,825000,5700 Elgin St,Pittsburgh,PA,15206
Foreclosure,50800,311 Linnview Ave,Pittsburgh,PA,15210
Condo for sale,189900,320 Fort Duquesne Blvd 16g # 16G,Downtown Pgh,PA,15222
House for sale,79900,2334 Palm Beach Ave,Pittsburgh,PA,15216
House for sale,180000,517 N Aiken Ave,Pittsburgh,PA,15206
House for sale,387000,3934 Woolslayer Way,Pittsburgh,PA,15224
House for sale,95000,3235 Gorman Way,Pittsburgh,PA,15213
House for sale,31000,1419 Nobles Ln,Pittsburgh,PA,15210
Townhouse for sale,549000,23 S 18th St,Pittsburgh,PA,15203
House for sale,99000,134 Moultrie St,Pittsburgh,PA,15219
For sale by owner,824900,4947 Wallingford St,Pittsburgh,PA,15213
Condo for sale,1700000,1 Trimont Ln APT 1415A,Pittsburgh,PA,15211
House for sale,329000,5502 Camelia St,Pittsburgh,PA,15201
House for sale,315000,1027 King Ave,Pittsburgh,PA,15206
Auction,38887,31 Noster St,Pittsburgh,PA,15212
House for sale,322500,314 Cedarville St,Pittsburgh,PA,15224
Apartment for sale,499000,5537 Ellsworth Ave,Pittsburgh,PA,15232
For sale by owner,549900,5609 Darlington Rd # 11,Pittsburgh,PA,15217
House for sale,192500,629 Dunster St,Pittsburgh,PA,15226
House for sale,344000,3526 Frazier St,Pittsburgh,PA,15213
House for sale,399500,5107 Dearborn St,Pittsburgh,PA,15224
House for sale,995000,4919 Centre Ave,Pittsburgh,PA,15213
House for sale,624900,307 Queensberry Cir,Pittsburgh,PA,15234
House for sale,799900,4775 Wallingford St,Pittsburgh,PA,15213
House for sale,335000,449 Old Farm Rd,Mt Lebanon,PA,15228
Townhouse for sale,650000,24 Overlook Ct,Pittsburgh,PA,15222
House for sale,439900,157 Stilwell Ct,Mt Lebanon,PA,15228
House for sale,285000,3233 Parkview Ave,Pittsburgh,PA,15213
House for sale,325000,6446 Rosemoor St,Pittsburgh,PA,15217
House for sale,200000,3823 Clement Way,Pittsburgh,PA,15201
Pre-foreclosure / Auction,99891,2201 Old Oak Dr,Pittsburgh,PA,15220
House for sale,35000,3679 Allendale Cir,Pittsburgh,PA,15204
House for sale,425000,161 S 16th St,Pittsburgh,PA,15203
House for sale,599900,6041 Saint Marie St,Pittsburgh,PA,15206
House for sale,209900,1449 Alabama Ave,Pittsburgh,PA,15216
Co-op for sale,58000,1160 Bower Hill Rd APT 700C,Pittsburgh,PA,15243
Apartment for sale,429000,3436 Ligonier St,Pittsburgh,PA,15201
House for sale,115000,5534 Camelia,Lawrenceville,PA,15201
House for sale,139900,1134 Tennessee Ave,Pittsburgh,PA,15216
Pre-foreclosure / Auction,420257,1232 Malvern Ave,Pittsburgh,PA,15217
Condo for sale,240000,2250 Mary St APT 208,Pittsburgh,PA,15203
Auction,103380,1223-1225 Adon St,Pittsburgh,PA,15204
House for sale,169900,6501 Jackson St,Pittsburgh,PA,15206
House for sale,164900,2155 Lucina Ave,Pittsburgh,PA,15210
Condo for sale,400000,300 4th Ave # 602,Pittsburgh,PA,15222
Apartment for sale,99000,212 Meredith St,Pittsburgh,PA,15210
Condo for sale,200000,5523 Ellsworth Ave APT 8A,Pittsburgh,PA,15232
For sale by owner,150000,248 Pringle St,Carnegie,PA,15106
House for sale,190000,1541 Cooper Ave,Pittsburgh,PA,15212
Auction,106100,660 Southern Ave,Mount Washington,PA,15211
Pre-foreclosure / Auction,0,737 Rockwood Ave,Pittsburgh,PA,15234
Foreclosure,24900,2741 Spring Garden Ave,Pittsburgh,PA,15212
House for sale,64900,34 Soffel St,Mt Washington,PA,15211
House for sale,569900,5533 Butler St # B2+,Pittsburgh,PA,15201
Apartment for sale,515000,5645 Woodmont St,Pittsburgh,PA,15217
For sale by owner,80000,6633 Marietta St,Pittsburgh,PA,15206
Auction,60793,7250 Campania Ave,Pittsburgh,PA,15206
House for sale,129900,1788 Perrysville Ave,Pittsburgh,PA,15212
House for sale,299000,2403 Glen Mawr St,Pittsburgh,PA,15204
House for sale,179900,2217 Harbor St,Pittsburgh,PA,15212
House for sale,125900,1160 Bower Hill Rd,Pittsburgh,PA,15243
House for sale,58500,2931 Zephyr Ave,Pittsburgh,PA,15204
House for sale,130000,522 N Euclid Ave,Pittsburgh,PA,15206
Townhouse for sale,317500,4629 Plummer St,Pittsburgh,PA,15201
Auction,109310,746 Berkshire Ave,Pittsburgh,PA,15226
House for sale,265000,1007 Premier St,Pittsburgh,PA,15201
House for sale,85900,211 Southern Ave,Pittsburgh,PA,15211
For sale by owner,40000,207 Radcliffe St,Pittsburgh,PA,15204
House for sale,279000,1820 Sidney St,Pittsburgh,PA,15203
Apartment for sale,149000,1006 Spring Garden Ave,Pittsburgh,PA,15212
Apartment for sale,279000,136 S 19th St,Pittsburgh,PA,15203
Condo for sale,1275000,1 Trimont Ln APT 940C,Mt Washington,PA,15211
Condo for sale,1150000,320 Fort Duquesne Blvd # 22C/D,Pittsburgh,PA,15222
House for sale,199000,383 Fernhill Ave,Pittsburgh,PA,15226
House for sale,164900,2612 Patterson St,Pittsburgh,PA,15203
House for sale,175500,1130 Mcneilly Ave,Pittsburgh,PA,15216
Townhouse for sale,275000,2617 Tilbury Ave,Pittsburgh,PA,15217
House for sale,12900,425 Climax St,Pittsburgh,PA,15210
House for sale,249900,323 Hallock St,Pittsburgh,PA,15211
Pre-foreclosure / Auction,0,108 N Homewood Ave,Pittsburgh,PA,15208
Townhouse for sale,529000,4700 Ellsworth Ave APT 7,Pittsburgh,PA,15213
Foreclosure,64900,1910 Saint Paul St,Pittsburgh,PA,15203
Townhouse for sale,1100000,250 42nd St,Pittsburgh,PA,15201
House for sale,215000,1416 Pueblo Dr,Mt Lebanon,PA,15228
Apartment for sale,270000,2121 Wharton St,Pittsburgh,PA,15203
House for sale,325000,3727 Frazier St,Pittsburgh,PA,15213
For sale by owner,649000,422 Suismon St,Pittsburgh,PA,15212
House for sale,349000,219 Taylor St,Pittsburgh,PA,15224
House for sale,199980,4215 Millington Rd,Pittsburgh,PA,15217
Co-op for sale,69900,1150 Bower Hill Rd APT 1105A,Pittsburgh,PA,15243
House for sale,159900,1384 Kinmount St,Pittsburgh,PA,15205
Co-op for sale,64900,1160 Bower Hill Rd APT 1105B,Pittsburgh,PA,15243
House for sale,299900,317 45th St,Pittsburgh,PA,15201
Condo for sale,384500,1000 Grandview Ave APT 803,Pittsburgh,PA,15211
House for sale,80000,919 Brownsville Rd,Pittsburgh,PA,15210
House for sale,79900,122 Ruth St,Mt Washington,PA,15211
House for sale,35000,228 Chalfont St,Pittsburgh,PA,15210
House for sale,15000,87 Industry,Allentown,PA,15210
Foreclosure,31999,1910 Mount Joseph St,Pittsburgh,PA,15210
Townhouse for sale,85000,112 Mcnary Way,Pittsburgh,PA,15212
Condo for sale,475000,5600 Munhall Rd APT 515,Pittsburgh,PA,15217
House for sale,175000,517 Edmond St,Pittsburgh,PA,15224
Condo for sale,465000,2434 Smallman St UNIT 212,Pittsburgh,PA,15222
House for sale,599900,5101 Carnegie St,Pittsburgh,PA,15201
House for sale,139000,334 Virginia Ave,Mount Washington,PA,15211
House for sale,179500,3511 Leech St,Pittsburgh,PA,15201
Condo for sale,109000,112 Washington Pl APT 14J,Pittsburgh,PA,15219
Make Me MoveÂ®,350000,4701 Stanton Ave,Pittsburgh,PA,15201
House for sale,155000,912 Arlington Ave,Pittsburgh,PA,15203
House for sale,75000,508 Gearing Ave,Pittsburgh,PA,15210
Townhouse for sale,275000,2619 Tilbury Ave,Pittsburgh,PA,15217
Condo for sale,279900,128 N Craig St APT 303,Pittsburgh,PA,15213
House for sale,599000,3929 Liberty Ave,Pittsburgh,PA,15224
House for sale,149000,4017 Oswald St,Pittsburgh,PA,15212
Apartment for sale,350000,4308 Main St,Pittsburgh,PA,15224
House for sale,108000,4223 Salem Dr Dr,Hamburg,NY,14219
House for sale,169900,3605 Connie Trl,Buffalo,NY,14219
House for sale,319900,4725 Mosey Ln,Blasdell,NY,14219
House for sale,139000,3623 Salisbury Ave,Blasdell,NY,14219
House for sale,364900,4786 Mosey Ln,Blasdell,NY,14219
House for sale,159900,8 Silver Ave,Blasdell,NY,14219
House for sale,179900,1 Salisbury Ave,Blasdell,NY,14219
Apartment for sale,160000,4928 Richmond Ave,Blasdell,NY,14219
House for sale,235000,3440 Alsace Pl,Blasdell,NY,14219
House for sale,129900,10 Marlowe Ave,Buffalo,NY,14219
For sale by owner,179000,3610 S Park Ave,Blasdell,NY,14219
For sale by owner,93000,3680A 7th St,Blasdell,NY,14219
House for sale,184900,5165 Richmond Ave,Buffalo,NY,14219
Foreclosure,101300,81 Frontier Dr,Blasdell,NY,14219
House for sale,157900,S3483 Dickens Rd,Buffalo,NY,14219
House for sale,174900,3614 Wabash Ave,Blasdell,NY,14219
House for sale,164900,4281 Big Tree Rd,Buffalo,NY,14219
Apartment for sale,106000,127 Orchard Ave,Buffalo,NY,14219
Pre-foreclosure / Auction,0,3397 Bethford Dr,Blasdell,NY,14219
Pre-foreclosure,96084,51 Gilbert Ave,Blasdell,NY,14219
House for sale,24900,190 Labelle Ave,Buffalo,NY,14219
Pre-foreclosure,96319,40 Pearl Ave,Blasdell,NY,14219
Pre-foreclosure,89826,137 Martin Ave,Buffalo,NY,14219
House for sale,135000,3641 Lake Ave,Buffalo,NY,14219
Pre-foreclosure,106141,3666 Salisbury Ave,Blasdell,NY,14219
Apartment for sale,220999,51 Martin Ave,Buffalo,NY,14219
Pre-foreclosure / Auction,0,3309 Bethford Dr,Blasdell,NY,14219
Pre-foreclosure / Auction,0,3638 Harrison Ave,Buffalo,NY,14219
Pre-foreclosure / Auction,0,3436 Dickens Rd,Blasdell,NY,14219
Pre-foreclosure,177318,4797 Milestrip Rd,Blasdell,NY,14219
Pre-foreclosure / Auction,0,3654 7th St,Buffalo,NY,14219
Lot / Land for sale,250000,V/l Mckinley Pkwy W,Hamburg,NY,14219
Foreclosure,0,Frontier Dr,Blasdell,NY,14219
Foreclosure,0,Willowdale Ave,Buffalo,NY,14219
House for sale,599000,96 Middlesex Rd,Buffalo,NY,14216
House for sale,399000,82 Tillinghast Pl,Buffalo,NY,14216
House for sale,759900,21 Saybrook Pl,Buffalo,NY,14209
House for sale,595000,309 Lincoln Pkwy,Buffalo,NY,14216
House for sale,54500,27 Manhattan Ave,Buffalo,NY,14215
House for sale,155000,37 Tuscarora Rd,Buffalo,NY,14220
House for sale,429900,216 Crescent Ave,Buffalo,NY,14214
House for sale,415000,40 Brantford Pl,Buffalo,NY,14222
For sale by owner,219999,136 Como Ave,Buffalo,NY,14220
House for sale,120000,60 Clayton St,Buffalo,NY,14207
House for sale,1750000,135 Nottingham Ter,Buffalo,NY,14216
House for sale,174900,63 Tacoma Ave,Buffalo,NY,14216
House for sale,349900,237 Lafayette Ave,Buffalo,NY,14213
For sale by owner,439900,47 Edge Park Ave,Buffalo,NY,14216
House for sale,309900,837 Richmond Ave,Buffalo,NY,14222
House for sale,54900,40 Amber St,Buffalo,NY,14220
For sale by owner,269900,118 Stratford Rd,Buffalo,NY,14216
House for sale,239900,726 Linwood Ave,Buffalo,NY,14209
House for sale,139900,1500 Kensington Ave,Buffalo,NY,14215
House for sale,719900,289 Summer St,Buffalo,NY,14222
House for sale,489000,375 Porter Ave,Buffalo,NY,14201
House for sale,274900,639 Mckinley Pkwy,Buffalo,NY,14220
Condo for sale,289900,186 Chapin Pkwy APT 5,Buffalo,NY,14209
House for sale,475000,21 Cleveland Ave,Buffalo,NY,14222
House for sale,189900,41 Hughes Ave,Buffalo,NY,14208
House for sale,1100000,1 Penhurst Park,Buffalo,NY,14222
Foreclosure,94000,300 Humboldt Pkwy,Buffalo,NY,14214
House for sale,479900,430 Lincoln Pkwy,Buffalo,NY,14216
House for sale,91900,35 Hamlin Rd,Buffalo,NY,14208
House for sale,279900,124 W Oakwood Pl,Buffalo,NY,14214
House for sale,469900,322 W Utica St,Buffalo,NY,14222
Apartment for sale,209900,72 Hoyt St,Buffalo,NY,14213
For sale by owner,125000,9 Copeland Pl,Buffalo,NY,14207
House for sale,49900,71 Wex Ave,Buffalo,NY,14211
House for sale,19995,292 Paderewski Dr,Buffalo,NY,14212
House for sale,49900,49 Crossman Ave,Buffalo,NY,14211
For sale by owner,250000,322 Woodside Ave,Buffalo,NY,14220
House for sale,425000,152 Fargo Ave,Buffalo,NY,14201
House for sale,25000,607 E North St,Buffalo,NY,14211
For sale by owner,174900,57 Densmore St,Buffalo,NY,14220
House for sale,424900,385 Linwood Ave,Buffalo,NY,14209
Apartment for sale,254900,402 W Delavan Ave,Buffalo,NY,14213
For sale by owner,35000,1360 Bailey Ave,Buffalo,NY,14206
For sale by owner,35000,1360 Bailey Ave,Buffalo,NY,14206
House for sale,449900,203 Cleveland Ave,Buffalo,NY,14222
For sale by owner,150000,208 Cambridge Ave,Buffalo,NY,14215
Apartment for sale,34900,216 Doat St,Buffalo,NY,14211
House for sale,1100000,149 Middlesex Rd,Buffalo,NY,14216
House for sale,255000,360 Ashland Ave,Buffalo,NY,14222
Apartment for sale,325000,71 Livingston St,Buffalo,NY,14213
House for sale,228888,40 Homer Ave,Buffalo,NY,14216
For sale by owner,160000,90 Fuller St,Buffalo,NY,14207
House for sale,89500,89 Riley St,Buffalo,NY,14209
House for sale,89900,295 Gold St,Buffalo,NY,14206
House for sale,279900,34 Blantyre Rd,Buffalo,NY,14216
House for sale,32900,374 Florida St,Buffalo,NY,14208
House for sale,82900,381 Hinman Ave,Buffalo,NY,14216
Condo for sale,719900,200 Delaware Ave UNIT 1604,Buffalo,NY,14202
House for sale,119900,467 Southside Pkwy,Buffalo,NY,14210
House for sale,434900,1 Beard Ave,Buffalo,NY,14214
House for sale,189900,46 Vernon Pl,Buffalo,NY,14214
House for sale,199900,22 Lyndhurst Ave,Buffalo,NY,14216
House for sale,399900,130 Depew Ave,Buffalo,NY,14214
For sale by owner,339000,712 Linwood Ave,Buffalo,NY,14209
Townhouse for sale,124900,311 King Peterson Rd,Buffalo,NY,14204
House for sale,149900,131 Eden St,Buffalo,NY,14220
Apartment for sale,199900,373 Linden Ave,Buffalo,NY,14216
Apartment for sale,265900,36 N Park Ave,Buffalo,NY,14216
House for sale,89000,375 Rhode Island St,Buffalo,NY,14213
Apartment for sale,189900,45 Eden St,Buffalo,NY,14220
House for sale,189900,191 Brinton St,Buffalo,NY,14216
House for sale,136900,303 Sanders Rd,Buffalo,NY,14216
For sale by owner,25000,215 Northampton St,Buffalo,NY,14208
House for sale,169900,41 Eaglewood Ave,Buffalo,NY,14220
House for sale,299900,260 Crescent Ave,Buffalo,NY,14214
House for sale,400000,38 Richmond Ave,Buffalo,NY,14222
